Date,Open,High,Low,Close,Volume
2025-07-22,2130,2270,1982,1987,21889900
2025-07-23,1986,1989,1985,1987,770474
2025-07-24,1987,1997,1987,1997,333636
2025-07-25,1997,1997,1991,1993,186791
2025-07-28,1993,1993,1990,1991,81455
2025-07-29,1991,1992,1988,1990,71622
2025-07-30,1988,1994,1988,1993,59989
2025-07-31,1993,1993,1990,1990,22097
2025-08-01,1990,1992,1986,1988,50334
2025-08-04,1988,1992,1987,1991,55721
2025-08-05,1991,1991,1989,1989,28714
2025-08-06,1989,1993,1988,1991,44050
2025-08-07,1991,1993,1988,1991,38279
2025-08-08,1991,1993,1988,1992,44912
2025-08-11,1992,1993,1988,1991,40721
2025-08-12,1991,1995,1989,1994,37217
2025-08-13,1993,1994,1990,1991,20914
2025-08-14,1991,1992,1990,1990,20940
2025-08-18,1990,1996,1990,1996,63332
2025-08-19,1996,1997,1995,1996,20844
2025-08-20,1996,1996,1993,1996,33792
2025-08-21,1996,1996,1990,1992,23117
2025-08-22,1992,1996,1992,1995,21869
2025-08-25,1996,1998,1993,1998,65786
2025-08-26,1998,1999,1993,1997,48019
2025-08-27,1998,1999,1997,1998,48383
2025-08-28,1998,1998,1995,1998,13973
2025-08-29,1999,1999,1994,1999,12670
2025-09-01,1999,2000,1996,2000,32067
2025-09-02,1996,2000,1996,2000,22279
2025-09-03,1999,2005,1998,1998,52462
2025-09-04,1998,2005,1997,2000,12911
2025-09-05,2000,2005,2000,2005,15042
2025-09-08,2005,2005,1998,2005,17071
2025-09-09,2000,2005,1999,2000,17487
2025-09-10,2000,2005,1998,2000,11548
2025-09-11,2000,2005,2000,2005,6892
2025-09-12,2005,2005,1999,2005,2135
2025-09-15,2005,2005,2000,2005,12984
2025-09-16,2005,2005,2000,2005,27157
2025-09-17,2000,2005,2000,2005,7388
2025-09-18,2005,2007,2000,2005,22725
2025-09-19,2005,2005,1999,2000,34189
2025-09-22,2000,2005,2000,2000,4798
2025-09-23,2005,2005,2000,2000,3019
2025-09-24,2000,2005,2000,2005,2982
2025-09-25,2000,2005,2000,2000,4465
2025-09-26,2000,2002,2000,2000,10878
2025-09-29,2000,2005,2000,2005,18890
2025-09-30,2005,2005,1999,2005,9306
2025-10-01,2005,2005,2000,2005,2213
2025-10-02,2000,2005,2000,2005,11682
2025-10-10,2000,2005,1999,2005,3178
2025-10-13,2000,2000,1998,1999,4937
2025-10-14,2000,2000,1998,1999,2777
2025-10-15,2000,2000,1997,2000,11530
2025-10-16,2000,2000,1997,1999,3296
2025-10-17,1999,1999,1996,1996,8070
2025-10-20,1998,2005,1996,2005,27354
2025-10-21,2000,2005,1996,2005,8999
2025-10-22,2000,2000,1999,1999,12544
2025-10-23,2000,2005,2000,2005,16727
2025-10-24,1998,2005,1997,2005,8379
2025-10-27,2000,2005,2000,2005,5881
2025-10-28,2005,2010,2000,2010,38626
2025-10-29,2000,2010,2000,2010,18834
2025-10-30,2010,2010,2000,2010,24658
2025-10-31,2010,2010,2005,2010,1649
2025-11-03,2007,2010,1998,1998,20565
2025-11-04,2000,2005,1998,2000,25990
2025-11-05,1997,2005,1995,1995,25585
2025-11-06,1997,2000,1995,1999,2547
2025-11-07,2000,2000,1998,2000,1585
2025-11-10,1997,2005,1997,2000,7736
2025-11-11,2000,2005,2000,2005,5217
2025-11-12,2000,2005,1995,1996,56808
2025-11-13,1997,1999,1996,1996,1369
2025-11-14,2005,2005,1995,1996,1356
2025-11-17,1996,1999,1995,1999,28745
2025-11-18,2000,2000,1991,1991,31890
2025-11-19,1993,2000,1991,1997,17668
2025-11-20,1995,1999,1995,1997,3880
2025-11-21,1997,1998,1993,1997,38400
2025-11-24,1992,2005,1992,1999,31711
2025-11-25,2005,2005,1995,1996,1162
2025-11-26,1996,1997,1994,1997,6316
2025-11-27,1997,2005,1997,2005,9253
2025-11-28,2005,2005,1997,1999,8771
2025-12-01,2000,2010,2000,2010,38279
2025-12-02,2010,2025,2005,2020,88320
2025-12-03,2020,2040,2005,2015,24624
2025-12-04,2020,2035,2010,2035,109341
2025-12-05,2015,2030,2015,2020,2344
2025-12-08,2015,2040,2015,2020,9781
2025-12-09,2020,2030,2015,2025,23679
2025-12-10,2025,2025,2020,2020,41628
2025-12-11,2010,2015,2005,2010,2405
2025-12-12,2015,2035,2010,2020,16394
2025-12-15,2010,2025,2005,2020,1810
2025-12-16,2010,2015,2000,2000,5619
2025-12-17,2005,2010,2000,2000,5239
2025-12-18,2005,2005,2000,2005,492
2025-12-19,2000,2010,2000,2010,556
2025-12-22,2000,2010,2000,2010,1358
2025-12-23,2000,2015,2000,2005,14757
2025-12-24,2005,2010,2005,2005,750
2025-12-26,2015,2015,2005,2010,5564
2025-12-29,2005,2010,2000,2005,10458
2025-12-30,2005,2015,2005,2010,432
2026-01-02,2010,2015,2000,2005,4253
2026-01-05,2005,2010,2005,2005,1398
2026-01-06,2005,2015,2005,2010,5847
2026-01-07,2020,2020,2010,2015,2429
2026-01-08,2010,2010,2005,2010,1214
2026-01-09,2010,2010,2005,2010,1186
2026-01-12,2010,2012,2005,2010,9339
2026-01-13,2005,2015,2005,2015,11156
2026-01-14,2015,2015,2010,2015,3914
2026-01-15,2015,2015,2010,2015,3110
2026-01-16,2015,2020,2012,2015,1654
2026-01-19,2020,2025,2015,2022,5681
2026-01-20,2015,2030,2015,2030,2408
2026-01-21,2030,2030,2015,2025,7962
2026-01-22,2030,2035,2025,2027,5701
2026-01-23,2030,2045,2030,2035,39808
2026-01-26,2040,2045,2025,2045,4394
2026-01-27,2045,2045,2025,2035,9394
