Date,Open,High,Low,Close,Volume
2025-12-04,44000,44000,42000,44000,3793239
2025-12-05,57200,57200,52400,57200,1548062
2025-12-08,54100,56800,47750,48550,8060417
2025-12-09,47650,52400,47500,50000,3709929
2025-12-10,49800,50700,46100,46600,1848223
2025-12-11,47100,48650,46150,46700,1714470
2025-12-12,47500,59700,46350,55900,10441014
2025-12-15,56500,72600,54800,70500,11408893
2025-12-16,70000,80200,67000,72400,12482920
2025-12-17,71600,79000,66100,67000,6132009
2025-12-18,68100,72600,66300,72500,4037398
2025-12-19,69800,75450,69300,70400,3785790
2025-12-22,69000,71000,66300,67100,1717960
2025-12-23,67100,67800,60900,61500,1881452
2025-12-24,61200,64100,60400,62200,1510894
2025-12-26,61600,68300,60500,64900,3512704
2025-12-29,64400,65600,61900,61900,1068755
2025-12-30,61900,62000,57100,57600,1144166
2026-01-02,56700,58600,54600,54700,553910
2026-01-05,49500,57800,49500,56100,1265695
2026-01-06,55300,56300,53500,54700,373606
2026-01-07,55100,59400,54200,58800,982227
2026-01-08,61100,62500,58500,60100,587151
2026-01-09,61400,65800,59100,62400,1044970
2026-01-12,61000,61400,59000,59800,453527
2026-01-13,59400,59800,55600,56200,404963
2026-01-14,57900,58000,54500,55500,239425
2026-01-15,55600,56100,54000,55700,266196
2026-01-16,54700,58500,52800,54900,640024
2026-01-19,53800,55700,53000,54000,246647
2026-01-20,55500,58400,55100,55700,629612
2026-01-21,53700,54700,50400,51000,396535
2026-01-22,52400,52600,49500,51000,341348
2026-01-23,51300,53500,50600,53100,367176
2026-01-26,54500,59000,53800,58300,791503
2026-01-27,56900,59100,56500,58900,356393
2026-01-28,57900,58500,56600,57200,408478
2026-01-29,57900,59500,56900,58000,481120
2026-01-30,57200,57200,54500,54500,369691
2026-02-02,52400,54300,51000,51100,181127
2026-02-03,52400,55500,50200,53400,306408
2026-02-04,52700,56700,52200,55600,1285155
2026-02-05,58900,58900,53800,54400,376970
2026-02-06,51800,56500,50600,52000,428445
2026-02-09,52800,53000,51500,52300,208929
2026-02-10,52300,53100,51700,51800,157103
2026-02-11,55000,56200,53100,53200,299283
2026-02-12,53900,54200,52100,53300,168806
2026-02-13,52700,52700,51400,51800,134778
2026-02-19,51900,53000,51300,52900,154915
2026-02-20,52500,52800,50700,51000,175755
2026-02-23,51400,52500,50200,51700,190124
2026-02-24,52900,53700,52100,53600,260100
2026-02-25,54400,56100,52500,52500,339540
2026-02-26,52800,52800,51300,51900,262986
2026-02-27,56100,64900,55100,61500,3800852
2026-03-03,63400,72800,62700,64300,3125625
2026-03-04,59600,61400,50700,51300,1598164
2026-03-05,58400,65000,55200,62800,1910654
2026-03-06,63500,66100,61100,65300,1180753
2026-03-09,60400,63000,59600,62700,690434
2026-03-10,68000,69500,63400,64400,1480674
2026-03-11,65500,68800,63800,65100,1362546
2026-03-12,63400,71900,62600,70300,4271978
2026-03-13,68200,71200,67400,69400,1313637
2026-03-16,71300,71500,63000,64300,1158362
2026-03-17,65300,65600,60000,60000,782698
2026-03-18,61600,62200,60200,60500,441329
2026-03-19,57800,59000,56100,56300,459618
2026-03-20,57000,57200,55100,55300,369285
2026-03-23,52600,53200,50900,51000,285851
2026-03-24,53200,53300,49000,50000,391956
2026-03-25,52200,53700,51500,53500,313820
2026-03-26,56600,57500,54200,54400,442546
2026-03-27,53300,54400,52500,53200,177457
2026-03-30,49850,51000,49450,50200,178118
2026-03-31,49800,50400,46850,47200,313640
2026-04-01,49400,50400,48850,49600,173167
2026-04-02,54300,54400,47950,49150,367060
2026-04-03,50300,50800,48250,48300,179091
2026-04-06,48300,48650,46150,46300,153049
2026-04-07,46850,47800,45050,45300,142031
2026-04-08,47900,49200,47000,48050,211496
2026-04-09,48250,48450,46200,46300,140242
2026-04-10,47400,47900,46100,47550,129235
2026-04-13,46200,46500,45450,45950,105073
2026-04-14,48250,48350,46200,46550,269992
2026-04-15,47750,50600,47200,50300,345463
2026-04-16,52500,52500,50500,51300,217172
2026-04-17,51500,51850,50200,50600,130597
2026-04-20,51100,51800,49750,49850,164114
2026-04-21,50700,50800,47600,48150,258055
2026-04-22,48300,48800,46600,47150,198589
2026-04-23,47600,48450,46650,47400,183427
2026-04-24,47350,50300,47050,50200,263519
2026-04-27,50600,51700,49800,50900,218949
2026-04-28,50000,50000,48800,48850,185568
2026-04-29,49300,50100,48600,48750,129983
2026-04-30,48750,48850,46800,46850,194521
2026-05-04,47400,47650,46650,46700,115347
2026-05-06,46200,46250,44250,44250,207116
2026-05-07,45600,47300,44150,44200,206876
2026-05-08,44800,45450,43950,44100,133780
2026-05-11,43500,43500,41250,41800,218901
2026-05-12,41200,44850,40800,43400,357001
2026-05-13,45100,45150,40750,40750,265282
2026-05-14,40850,41900,39750,41000,190507
2026-05-15,41950,42100,38500,39300,253729
2026-05-18,38000,38800,34800,35800,295828
2026-05-19,35500,38150,33550,35100,313758
2026-05-20,34000,34250,32350,33300,214923
2026-05-21,34050,35100,33450,33700,153633
2026-05-22,35400,38000,34900,37100,276791
2026-05-26,39050,41400,38250,40050,274375
2026-05-27,39200,41900,37400,38500,315809
2026-05-28,39350,39350,35100,36500,165898
2026-05-29,36500,36650,33650,34400,181678
