Date,Open,High,Low,Close,Volume
2025-12-22,22900,25600,18830,19210,21435310
2025-12-23,20300,22000,17010,17280,7976129
2025-12-24,17220,17960,15280,15520,3203374
2025-12-26,15950,18850,15700,16880,7193247
2025-12-29,17030,17950,15560,15590,1620180
2025-12-30,15500,15530,13850,13910,919292
2026-01-02,13910,14480,13290,13320,453500
2026-01-05,13290,13300,12460,12460,484435
2026-01-06,11380,12150,11300,11550,1899970
2026-01-07,11750,12440,11380,11430,1199268
2026-01-08,11320,12440,10740,10930,1362025
2026-01-09,11050,11920,11010,11130,984993
2026-01-12,11160,11800,10970,11050,586339
2026-01-13,11040,11520,11030,11160,397160
2026-01-14,11300,11320,10690,10700,290068
2026-01-15,10830,10900,10310,10370,337159
2026-01-16,10550,10940,10320,10370,356056
2026-01-19,10380,10470,10050,10070,246956
2026-01-20,10070,10380,9900,10080,291311
2026-01-21,10000,10000,9290,9330,374221
2026-01-22,8900,9270,8210,8500,1827959
2026-01-23,8550,8890,8440,8520,650551
2026-01-26,8540,8650,8370,8470,330432
2026-01-27,8550,8660,8310,8500,310751
2026-01-28,8570,9100,8400,8740,638265
2026-01-29,8830,8850,8430,8570,344036
2026-01-30,8610,8950,8360,8430,798282
2026-02-02,8400,8620,8040,8100,301217
2026-02-03,8180,9490,8140,8860,2687011
2026-02-04,8900,10600,8740,10080,4797952
2026-02-05,10090,11440,9800,9900,4028518
2026-02-06,9910,10000,9240,9290,544603
2026-02-09,9500,9650,8930,8970,425234
2026-02-10,8970,9250,8890,8980,208390
2026-02-11,9000,9060,8830,8880,186237
2026-02-12,8920,11520,8800,11080,6743351
2026-02-13,10740,13800,10080,11210,11356582
2026-02-19,11280,12500,10980,11340,4762619
2026-02-20,11390,12400,11090,11480,3204597
2026-02-23,11570,13140,11560,12300,6764601
2026-02-24,12300,12780,11860,11970,1649766
2026-02-25,11970,12200,11100,11100,877574
2026-02-26,11200,11540,10820,10950,568785
2026-02-27,10940,10980,10510,10790,377605
2026-03-03,10500,10610,10010,10010,354916
2026-03-04,9720,9800,8040,8160,571008
2026-03-05,8750,9150,8610,8920,320426
2026-03-06,8890,9260,8530,8790,180394
2026-03-09,8380,8530,7900,8150,258003
2026-03-10,8440,9690,8220,8470,826288
2026-03-11,8510,9060,8430,8650,282438
2026-03-12,8700,9540,8600,8900,349639
2026-03-13,8780,9160,8660,8740,181240
2026-03-16,8780,8840,8550,8590,101797
2026-03-17,8630,8790,8540,8600,93513
2026-03-18,8650,8790,8600,8640,109206
2026-03-19,8460,8560,8330,8330,100368
2026-03-20,8360,8560,8290,8470,90362
2026-03-23,8130,8210,7690,7740,286820
2026-03-24,8000,8070,7580,7700,158521
2026-03-25,7740,8020,7730,7930,93673
2026-03-26,8090,8180,7700,7710,84079
2026-03-27,7800,7940,7540,7840,80997
2026-03-30,7550,7790,7450,7660,53833
2026-03-31,7420,8470,7420,7550,458954
2026-04-01,7650,7930,7650,7800,190685
2026-04-02,7930,7940,7230,7240,196175
2026-04-03,7300,7460,7290,7420,56688
2026-04-06,7320,7420,7250,7260,60105
2026-04-07,7280,7720,7240,7250,129445
2026-04-08,7390,7700,7390,7600,100336
2026-04-09,7590,7590,7400,7460,52190
2026-04-10,7510,7720,7390,7690,78849
2026-04-13,7580,7760,7450,7640,57995
2026-04-14,7760,7760,7650,7660,55717
2026-04-15,7730,7850,7660,7780,95389
2026-04-16,7800,7950,7780,7790,84823
2026-04-17,7790,7900,7640,7680,58636
2026-04-20,7610,7800,7580,7700,41180
2026-04-21,7700,7890,7600,7620,56400
2026-04-22,7620,7620,7480,7530,62459
2026-04-23,7540,7680,7470,7600,78163
2026-04-24,7600,7770,7530,7680,80770
2026-04-27,7690,7820,7680,7690,77420
2026-04-28,7700,7700,7550,7550,45356
2026-04-29,7550,7600,7420,7510,45157
2026-04-30,7520,7600,7340,7350,66717
2026-05-04,7380,7570,7330,7360,55312
2026-05-06,7370,7370,7080,7120,154164
2026-05-07,7130,7200,6890,6940,112430
2026-05-08,6910,7080,6890,7040,66484
2026-05-11,7040,7110,6690,6760,112321
2026-05-12,6760,8100,6400,6590,2000946
2026-05-13,6780,7400,6510,6880,446159
2026-05-14,7000,7180,6810,6850,126479
