Date,Open,High,Low,Close,Volume
2025-11-27,27500,31500,19840,19920,17005446
2025-11-28,20400,22550,18380,19100,6681576
2025-12-01,19900,22150,19600,20500,4300007
2025-12-02,20850,21700,19830,19900,1365968
2025-12-03,20000,20150,19150,19290,819929
2025-12-04,19350,19370,17950,18040,742685
2025-12-05,17740,17900,16430,16600,665603
2025-12-08,16630,20250,16510,18360,4608391
2025-12-09,19120,19430,17100,17100,1422689
2025-12-10,17100,17110,16100,16120,467570
2025-12-11,16100,16500,14540,14620,643088
2025-12-12,12370,13200,12300,12710,1673162
2025-12-15,12750,13680,12550,12870,791401
2025-12-16,12800,13490,12500,12620,687533
2025-12-17,12790,14200,12180,12370,2137356
2025-12-18,12220,12240,11430,11500,449376
2025-12-19,11500,11720,11170,11240,288463
2025-12-22,11240,11950,11230,11780,325952
2025-12-23,11810,11840,10910,11050,306811
2025-12-24,11200,11200,10380,10440,277876
2025-12-26,10450,10490,9860,9880,300062
2025-12-29,8750,10860,8600,9420,2722460
2025-12-30,9420,10220,9210,9410,895254
2026-01-02,9690,10250,9430,9880,984123
2026-01-05,9900,10300,9720,9930,486199
2026-01-06,9970,11220,9400,10500,2016486
2026-01-07,10400,11700,9880,9940,2473029
2026-01-08,9950,10690,9670,10390,1548243
2026-01-09,10600,10950,9900,9940,1012917
2026-01-12,9940,10020,9600,9650,368640
2026-01-13,9650,9930,9310,9390,372629
2026-01-14,9400,9570,9110,9130,239854
2026-01-15,9130,9300,9030,9220,150738
2026-01-16,9250,9660,9160,9200,381341
2026-01-19,9190,9390,9040,9130,176515
2026-01-20,9130,9860,8910,9290,542106
2026-01-21,9330,9330,8740,8790,288128
2026-01-22,8980,9330,8820,9230,314022
2026-01-23,9220,9700,9060,9300,426140
2026-01-26,9330,9910,9290,9840,494255
2026-01-27,10050,10060,9530,9720,391893
2026-01-28,9720,9810,9490,9660,292993
2026-01-29,9660,9840,9310,9470,267695
2026-01-30,9340,9550,9170,9270,292083
2026-02-02,9140,9420,8950,9170,216794
2026-02-03,9250,10790,9230,10060,3503214
2026-02-04,10030,12280,9850,11600,8384056
2026-02-05,11900,14360,11540,12440,10763910
2026-02-06,12590,13440,11670,12050,3077823
2026-02-09,12310,12890,11690,11760,989483
2026-02-10,11570,12360,11250,11340,768551
2026-02-11,11350,11640,11130,11320,375298
2026-02-12,11350,14710,11350,14710,8642867
2026-02-13,15160,15900,13550,13710,4678955
2026-02-19,13790,14290,13330,13330,1285150
2026-02-20,13360,15690,13280,15050,11863524
2026-02-23,15020,16380,14620,14940,4982270
2026-02-24,14940,15900,14890,15640,2218291
2026-02-25,15680,15990,15030,15100,1182875
2026-02-26,15040,15090,14020,14040,762866
2026-02-27,13410,13550,12570,13000,1032274
2026-03-03,12540,12820,12180,12180,485285
2026-03-04,11450,11970,9510,10020,671808
2026-03-05,10610,11370,10610,11040,721425
2026-03-06,10860,11090,10200,10680,339749
2026-03-09,10000,10170,9520,10060,278052
2026-03-10,10370,11070,10170,10290,380427
2026-03-11,10380,10650,10170,10300,223573
2026-03-12,10510,10800,10170,10510,226294
2026-03-13,10260,10730,10240,10380,194488
2026-03-16,10550,10560,9740,9850,219696
2026-03-17,10080,10460,10000,10110,195480
2026-03-18,10350,10350,10010,10090,155845
2026-03-19,9850,10000,9620,9680,228014
2026-03-20,9820,9980,9550,9870,141506
2026-03-23,10090,10240,9400,9450,447804
2026-03-24,9570,9710,9250,9330,197825
2026-03-25,9390,9600,9380,9380,100583
2026-03-26,9380,9620,9200,9210,165975
2026-03-27,9030,9430,8870,9180,149808
2026-03-30,9080,9080,8700,8910,99932
2026-03-31,8920,10280,8600,9060,1886655
2026-04-01,9230,10820,9120,10020,2685500
2026-04-02,10110,10210,9330,9380,363914
2026-04-03,9600,9850,9310,9310,168493
2026-04-06,9320,9510,9030,9030,128983
2026-04-07,9050,10200,9050,9360,496312
2026-04-08,9600,10150,9600,9750,237515
2026-04-09,9650,10140,9610,9900,166551
2026-04-10,9930,10090,9650,9670,171369
2026-04-13,9520,9780,9430,9510,83589
2026-04-14,9670,9870,9630,9650,120983
2026-04-15,9750,9910,9650,9650,124116
2026-04-16,9730,10170,9730,9990,228387
2026-04-17,10050,10050,9690,9700,132169
2026-04-20,9880,9880,9470,9630,103242
2026-04-21,9600,9750,9400,9480,115602
2026-04-22,9480,9500,9260,9300,124614
2026-04-23,9320,9550,9280,9320,114599
2026-04-24,9520,10680,9520,10290,1609938
2026-04-27,10290,10300,9980,9980,257554
2026-04-28,9990,10550,9750,9870,258625
2026-04-29,10250,10350,9860,9910,230807
2026-04-30,9910,9910,9550,9550,156317
2026-05-04,9700,9790,9580,9600,149480
2026-05-06,9830,9890,9570,9710,152052
2026-05-07,9870,9880,9590,9640,101757
2026-05-08,9830,10280,9300,9420,329644
2026-05-11,9450,9550,8860,8960,225683
2026-05-12,8970,8990,8320,8410,251324
2026-05-13,8430,8680,8200,8200,171434
2026-05-14,8250,8380,7950,8150,158681
2026-05-15,8150,8210,7490,7730,226733
2026-05-18,7730,7730,7250,7520,83175
2026-05-19,7480,7640,7130,7290,111105
2026-05-20,7320,7330,6940,7140,92788
2026-05-21,7240,7350,7050,7050,97255
2026-05-22,7150,7620,7100,7490,97460
2026-05-26,7490,7590,7210,7230,92140
2026-05-27,7010,7200,6350,6660,218234
2026-05-28,6660,6880,6480,6740,106883
2026-05-29,6750,6840,6230,6410,100155
