Date,Open,High,Low,Close,Volume
2025-12-10,45000,47000,26700,27100,16294211
2025-12-11,25650,26650,21900,22300,3089832
2025-12-12,22500,26800,21900,24950,5003595
2025-12-15,24950,25750,22300,22300,998226
2025-12-16,23350,26750,23150,24000,4599164
2025-12-17,24350,28000,24100,24700,4423906
2025-12-18,23800,25350,21400,21800,1058842
2025-12-19,22100,22700,20050,20350,666649
2025-12-22,20150,20500,19030,19030,417811
2025-12-23,19050,22500,19050,20600,1937429
2025-12-24,20600,20950,19010,19020,512708
2025-12-26,18000,18300,16400,16490,1163156
2025-12-29,16490,16700,15470,15620,701579
2025-12-30,15700,16130,15000,15040,455613
2026-01-02,15040,17440,14850,16090,1794202
2026-01-05,16120,17500,15700,16150,694706
2026-01-06,16250,19920,15550,19270,6568880
2026-01-07,19170,22750,18440,20100,5446675
2026-01-08,20150,21000,18000,18000,1166887
2026-01-09,18100,18600,16740,16800,525715
2026-01-12,16770,19270,16080,18000,4588439
2026-01-13,18570,20500,18500,19470,3893235
2026-01-14,19480,20300,18380,18400,1119704
2026-01-15,18320,19390,17100,18420,625036
2026-01-16,18420,19400,17600,18500,800566
2026-01-19,18580,19660,18530,19180,646589
2026-01-20,19170,19170,17900,17920,630766
2026-01-21,17400,18790,17150,17800,639332
2026-01-22,18760,23100,18760,22250,6047877
2026-01-23,22650,24950,21650,23500,5274060
2026-01-26,23050,23350,21200,21900,1315600
2026-01-27,21550,24400,21450,23400,2228570
2026-01-28,23500,28300,23100,25800,6688036
2026-01-29,25800,26600,24450,25150,1128362
2026-01-30,25050,27100,24650,26100,1724373
2026-02-02,26050,27100,23000,23000,1007928
2026-02-03,23950,24350,23000,23300,563447
2026-02-04,22650,23650,21650,22450,703306
2026-02-05,22050,24100,21450,23000,1274317
2026-02-06,22100,22300,20500,20700,489930
2026-02-09,21250,21850,19890,20000,390215
2026-02-10,20400,23250,20400,21800,1075343
2026-02-11,21800,24300,21050,24200,1618771
2026-02-12,24150,25450,23250,23500,1062329
2026-02-13,23200,24100,22950,23000,480480
2026-02-19,23150,24100,22500,23600,536711
2026-02-20,23400,24450,22400,22400,476640
2026-02-23,22600,23150,21050,21250,386390
2026-02-24,21250,22650,20700,22050,256410
2026-02-25,22500,22950,21350,21650,427939
2026-02-26,21800,22100,20350,20600,410974
2026-02-27,20600,20900,19890,20050,392072
2026-03-03,19020,19980,18400,18400,265311
2026-03-04,17380,18000,15400,15630,331970
2026-03-05,16600,17600,16600,17000,197930
2026-03-06,16660,17750,16240,17340,153316
2026-03-09,16440,16450,15340,16190,154238
2026-03-10,16680,17420,16430,17340,290729
2026-03-11,17540,17750,16650,16700,338839
2026-03-12,16760,18300,16760,17980,339059
2026-03-13,17500,17880,17190,17530,116152
2026-03-16,18000,18000,17070,17070,97172
2026-03-17,17440,18440,17440,17530,156426
2026-03-18,17800,17890,17280,17300,100712
2026-03-19,16810,17000,16340,16430,159441
2026-03-20,16660,16870,16410,16600,71476
2026-03-23,16090,16110,15180,15200,155785
2026-03-24,15640,16180,15450,15660,69693
2026-03-25,15750,16690,15670,16440,104280
2026-03-26,16400,16440,15500,15500,89058
2026-03-27,15200,15870,14880,15550,62714
2026-03-30,15000,15280,14580,14830,66417
2026-03-31,14400,14990,14150,14220,73181
2026-04-01,14500,15550,14500,15510,80628
2026-04-02,15600,15790,14110,14190,84002
2026-04-03,14770,14850,14350,14530,29389
2026-04-06,14450,14800,14250,14500,30667
2026-04-07,14500,14990,14160,14440,55462
2026-04-08,14800,15290,14800,15280,74806
2026-04-09,15290,15290,14320,14550,52613
2026-04-10,14720,15200,14720,15070,51355
2026-04-13,14680,14960,14520,14790,40701
2026-04-14,15350,16000,15230,15500,143108
2026-04-15,15850,16100,15620,15740,119943
2026-04-16,16370,16650,15990,16040,135247
2026-04-17,16300,16330,15580,15770,91891
2026-04-20,15770,16300,15350,16010,99367
2026-04-21,16010,16500,15600,15840,88818
2026-04-22,15710,16100,15560,15860,90460
2026-04-23,15930,16280,15700,15940,103668
2026-04-24,16040,16040,15700,15790,68840
2026-04-27,15880,16500,15810,16040,125941
2026-04-28,16300,16300,15730,15750,87423
2026-04-29,15760,15790,15340,15440,76382
2026-04-30,15700,15890,15080,15090,77135
2026-05-04,15100,15470,14980,14980,83435
2026-05-06,14740,14930,14370,14380,130374
2026-05-07,14370,14380,13810,13940,144987
2026-05-08,14050,16590,14000,15300,511781
2026-05-11,15330,15340,14530,14560,120197
2026-05-12,14560,15050,13930,13960,135429
2026-05-13,14000,14160,13530,14030,67770
2026-05-14,13920,14030,13050,13290,148303
2026-05-15,13260,13690,12160,12390,113578
2026-05-18,11910,12230,11210,11920,114798
2026-05-19,11830,12060,11320,11470,85937
2026-05-20,11260,11430,10630,10850,123314
2026-05-21,10950,11700,10950,11540,101301
2026-05-22,11540,12400,11540,12150,85190
2026-05-26,12270,12500,11720,11720,74681
2026-05-27,11620,11950,11000,11160,63930
2026-05-28,11100,11270,10450,10920,71657
2026-05-29,10870,11080,9930,10380,68707
2026-06-01,10280,10730,10020,10040,78360
2026-06-02,9710,10395,9710,10110,79138
