Date,Open,High,Low,Close,Volume
2025-07-04,2350,2745,1980,1986,35926226
2025-07-07,1990,2000,1987,1997,1014400
2025-07-08,1997,2000,1989,1999,349938
2025-07-09,1999,1999,1995,1997,225501
2025-07-10,1997,2000,1996,1998,206402
2025-07-11,1997,1999,1995,1997,146306
2025-07-14,1997,1998,1991,1994,77806
2025-07-15,1994,2000,1992,1997,159384
2025-07-16,1997,2000,1993,1997,71874
2025-07-17,1998,2005,1995,2000,140802
2025-07-18,1996,2005,1996,2000,87821
2025-07-21,2000,2000,1996,2000,34140
2025-07-22,2000,2000,1996,1998,98962
2025-07-23,1998,2000,1996,1998,33664
2025-07-24,1999,2000,1992,1998,55477
2025-07-25,1998,2005,1995,2000,68779
2025-07-28,2005,2005,1993,1995,19149
2025-07-29,1995,2000,1993,1998,43765
2025-07-30,1998,2005,1994,1999,54081
2025-07-31,1999,2000,1996,2000,10477
2025-08-01,1993,2000,1992,1996,14869
2025-08-04,1994,2000,1994,1998,13874
2025-08-05,2000,2005,1996,2000,16592
2025-08-06,2000,2005,1992,1997,48289
2025-08-07,1997,1997,1994,1996,29350
2025-08-08,1996,2000,1995,1996,4756
2025-08-11,1999,1999,1996,1997,7018
2025-08-12,2000,2000,1993,1998,38866
2025-08-13,1997,2000,1997,1999,5746
2025-08-14,1999,1999,1995,1996,11067
2025-08-18,1996,1999,1995,1999,15851
2025-08-19,1999,2000,1998,1999,7684
2025-08-20,1999,2000,1995,1998,13138
2025-08-21,1998,1998,1996,1996,14156
2025-08-22,1996,1999,1996,1996,9470
2025-08-25,1996,2000,1996,1997,39816
2025-08-26,1996,2000,1996,1999,18771
2025-08-27,2000,2000,1997,1999,7492
2025-08-28,1999,2005,1996,1996,30464
2025-08-29,2000,2000,1997,1998,38349
2025-09-01,2000,2000,1996,1997,10498
2025-09-02,2000,2000,1996,1998,3358
2025-09-03,2000,2000,1995,1998,5630
2025-09-04,2000,2005,1998,1999,38648
2025-09-05,2000,2000,1996,1999,55881
2025-09-08,1999,2005,1998,2005,31231
2025-09-09,2000,2005,1998,2000,25419
2025-09-10,2000,2005,2000,2005,12311
2025-09-11,2005,2005,2000,2005,17215
2025-09-12,2005,2005,2000,2000,1921
2025-09-15,2005,2005,2000,2000,2284
2025-09-16,2005,2005,2000,2005,25400
2025-09-17,2000,2005,2000,2000,23613
2025-09-18,2005,2005,2000,2000,3133
2025-09-19,2005,2005,1999,2005,11894
2025-09-22,2005,2005,1999,2000,9851
2025-09-23,2005,2005,1994,2000,22506
