Date,Open,High,Low,Close,Volume
2025-08-14,2310,2700,1981,1984,28446301
2025-08-18,1983,1990,1982,1986,561061
2025-08-19,1985,1989,1983,1987,205493
2025-08-20,1987,1989,1985,1989,161972
2025-08-21,1989,1996,1986,1990,281461
2025-08-22,1991,1991,1986,1989,141158
2025-08-25,1990,1996,1989,1995,216348
2025-08-26,1995,1998,1990,1996,77586
2025-08-27,1996,1999,1995,1998,66461
2025-08-28,1998,2000,1998,1999,50297
2025-08-29,1999,2000,1997,1999,43314
2025-09-01,2000,2005,1996,1998,48985
2025-09-02,1998,2005,1998,2000,69678
2025-09-03,2000,2005,2000,2005,41332
2025-09-04,2005,2005,2000,2005,40092
2025-09-05,2000,2005,2000,2005,24128
2025-09-08,2000,2015,2000,2015,110057
2025-09-09,2000,2015,2000,2015,35785
2025-09-10,2010,2025,2010,2025,42740
2025-09-11,2020,2035,2020,2035,41067
2025-09-12,2035,2040,2030,2035,26887
2025-09-15,2035,2040,2035,2040,19575
2025-09-16,2040,2050,2040,2045,36639
2025-09-17,2045,2050,2040,2045,27353
2025-09-18,2045,2050,2040,2045,26217
2025-09-19,2040,2055,2040,2050,16915
2025-09-22,2040,2050,2040,2040,4633
2025-09-23,2045,2050,2040,2040,5960
2025-09-24,2045,2045,2040,2040,26431
2025-09-25,2040,2050,2040,2045,24064
2025-09-26,2045,2045,2040,2045,34750
2025-09-29,2045,2050,2045,2050,11878
2025-09-30,2050,2050,2045,2050,27132
2025-10-01,2045,2055,2045,2050,7847
2025-10-02,2045,2050,2045,2045,12383
2025-10-10,2045,2045,2030,2035,23020
2025-10-13,2040,2040,2030,2035,34500
2025-10-14,2040,2040,2025,2025,23446
2025-10-15,2025,2040,2025,2025,20758
2025-10-16,2030,2035,2025,2025,27402
2025-10-17,2025,2035,2020,2025,8447
2025-10-20,2020,2040,2020,2025,3083
2025-10-21,2040,2040,2030,2030,4373
2025-10-22,2030,2035,2025,2030,5730
2025-10-23,2035,2040,2035,2040,5382
2025-10-24,2030,2045,2030,2045,38143
2025-10-27,2040,2045,2040,2045,5019
2025-10-28,2045,2045,2040,2040,9748
2025-10-29,2040,2045,2035,2045,13243
2025-10-30,2045,2050,2040,2050,41034
2025-10-31,2040,2055,2040,2055,17066
2025-11-03,2055,2060,2050,2055,11245
2025-11-04,2050,2055,2045,2050,2865
2025-11-05,2055,2065,2045,2065,39454
2025-11-06,2065,2065,2055,2065,720
2025-11-07,2065,2065,2050,2055,9011
2025-11-10,2055,2065,2055,2065,13810
2025-11-11,2055,2065,2050,2055,6933
2025-11-12,2055,2055,2050,2050,12720
2025-11-13,2050,2055,2045,2055,13230
2025-11-14,2045,2055,2040,2055,1681
