Date,Open,High,Low,Close,Volume
2025-07-22,2695,5040,2545,2600,95872950
2025-07-23,2350,2435,2000,2000,4681544
2025-07-24,2010,2020,1993,2005,1121739
2025-07-25,2000,2015,1995,2000,532302
2025-07-28,1998,2000,1996,1998,227935
2025-07-29,1998,2000,1996,1997,183346
2025-07-30,1997,2000,1995,1996,134032
2025-07-31,1996,1998,1993,1998,210265
2025-08-01,1998,1998,1993,1994,131613
2025-08-04,1993,1996,1990,1993,117853
2025-08-05,1993,1996,1993,1995,46446
2025-08-06,1995,1998,1990,1996,82548
2025-08-07,1995,1996,1991,1994,33247
2025-08-08,1994,1996,1990,1994,71197
2025-08-11,1994,2000,1994,1995,104575
2025-08-12,1994,2005,1992,2000,101348
2025-08-13,1996,1999,1995,1998,23067
2025-08-14,1995,1998,1994,1995,33713
2025-08-18,1995,1999,1992,1994,41754
2025-08-19,1994,1999,1993,1998,43023
2025-08-20,1998,1998,1993,1996,45656
2025-08-21,1993,1998,1993,1993,24917
2025-08-22,1993,1997,1993,1994,21743
2025-08-25,1993,1999,1993,1997,54713
2025-08-26,1997,2010,1995,2010,45142
2025-08-27,1999,2010,1999,2000,37152
2025-08-28,2000,2000,1995,1998,12716
2025-08-29,1998,2005,1998,1999,17436
2025-09-01,1999,2005,1996,2000,29488
2025-09-02,2000,2000,1996,1998,21679
2025-09-03,1998,2010,1997,1999,59916
2025-09-04,1997,2005,1997,2000,16899
2025-09-05,2000,2010,1998,2000,19956
2025-09-08,2000,2005,2000,2005,25228
2025-09-09,2005,2005,2000,2005,34862
2025-09-10,2005,2010,2000,2005,20907
2025-09-11,2005,2010,2000,2010,21824
2025-09-12,2010,2015,2000,2010,59302
2025-09-15,2010,2015,2000,2010,47607
2025-09-16,2005,2010,2000,2000,16800
2025-09-17,2005,2010,2000,2005,18084
2025-09-18,2005,2010,2000,2010,23446
2025-09-19,2010,2010,2000,2000,14305
2025-09-22,2005,2010,2000,2010,6005
2025-09-23,2010,2010,2000,2000,31685
2025-09-24,2005,2005,2000,2005,5765
2025-09-25,2000,2005,2000,2005,11726
2025-09-26,2000,2005,2000,2005,27002
2025-09-29,2000,2005,2000,2005,28460
2025-09-30,2000,2005,2000,2005,10256
2025-10-01,2005,2005,2000,2005,8068
2025-10-02,2005,2005,1999,2000,38825
2025-10-10,2000,2005,1998,2000,15798
2025-10-13,2000,2000,1998,2000,24471
2025-10-14,2000,2005,1995,2000,24336
2025-10-15,2000,2000,1996,1997,13694
2025-10-16,1997,2005,1997,2000,15352
2025-10-17,2000,2000,1997,1997,10373
2025-10-20,1998,2005,1997,1998,58050
2025-10-21,2000,2005,1995,2005,22738
2025-10-22,1998,2005,1998,2005,11762
2025-10-23,2000,2005,1998,2000,5828
2025-10-24,2000,2005,1998,2005,11261
2025-10-27,2000,2000,1998,2000,27860
2025-10-28,1994,2005,1994,2005,40553
2025-10-29,2005,2010,1998,2010,44676
2025-10-30,2000,2010,2000,2005,10937
2025-10-31,2005,2015,2000,2015,26890
2025-11-03,2010,2010,1999,2000,38249
2025-11-04,2000,2010,2000,2010,15646
2025-11-05,2000,2010,1998,1998,20613
2025-11-06,1998,2005,1997,1998,11037
2025-11-07,2000,2000,1996,1997,20664
2025-11-10,1997,2005,1997,2000,14698
2025-11-11,2000,2005,1998,1999,10423
2025-11-12,1999,2005,1999,2000,2718
2025-11-13,1999,2005,1995,2000,5501
2025-11-14,1997,2000,1995,1998,12052
2025-11-17,1998,2005,1995,2000,19178
2025-11-18,2000,2005,1995,1999,13631
2025-11-19,1999,2005,1996,1999,10672
2025-11-20,1999,2000,1996,1999,1962
2025-11-21,1996,1999,1994,1994,11950
2025-11-24,1996,2000,1991,1997,17674
2025-11-25,2005,2005,1990,1999,28627
2025-11-26,1998,2000,1996,2000,8731
2025-11-27,1998,2000,1996,2000,1738
2025-11-28,1996,2005,1996,2000,30818
2025-12-01,2000,2010,2000,2010,54103
2025-12-02,2000,2015,2000,2015,36132
2025-12-03,2005,2010,2000,2010,13292
2025-12-04,2000,2015,2000,2005,42602
2025-12-05,2010,2015,2005,2010,15056
2025-12-08,2010,2015,2005,2010,14738
2025-12-09,2010,2020,2005,2010,15483
2025-12-10,2010,2015,2000,2005,15017
2025-12-11,2010,2010,2000,2005,7159
2025-12-12,2005,2015,1999,1999,17324
2025-12-15,2000,2005,1991,1999,57676
2025-12-16,1999,2005,1991,2005,66426
2025-12-17,2000,2000,1991,1997,41673
2025-12-18,1997,1998,1991,1996,26970
2025-12-19,1996,1999,1991,1998,7129
2025-12-22,1998,2005,1993,1998,20760
2025-12-23,2000,2005,2000,2000,24311
2025-12-24,2000,2010,2000,2005,11524
2025-12-26,2010,2010,2000,2010,808
2025-12-29,2010,2010,2000,2005,1153
2025-12-30,2005,2010,2000,2005,1997
2026-01-02,2005,2005,2000,2000,4566
2026-01-05,2005,2010,2000,2005,13337
2026-01-06,2000,2010,2000,2005,5969
2026-01-07,2005,2010,2005,2010,7130
2026-01-08,2010,2010,2000,2000,3628
2026-01-09,2000,2005,2000,2002,12662
2026-01-12,2000,2005,2000,2005,6318
2026-01-13,2005,2005,2000,2000,8647
2026-01-14,2000,2005,2000,2005,10379
2026-01-15,2000,2010,2000,2005,15509
2026-01-16,2005,2010,2000,2010,18685
2026-01-19,2010,2010,2000,2000,8685
2026-01-20,2005,2005,2000,2000,2174
2026-01-21,2005,2005,2000,2000,3133
2026-01-22,2005,2010,2000,2000,21071
2026-01-23,2000,2015,2000,2000,56703
2026-01-26,2005,2010,2000,2010,37788
2026-01-27,2010,2015,2005,2015,37912
2026-01-28,2000,2015,2000,2005,17462
2026-01-29,2005,2015,2005,2015,2605
2026-01-30,2010,2015,1998,2015,73358
2026-02-02,2010,2015,2005,2015,37492
2026-02-03,2010,2020,2005,2015,15695
2026-02-04,2015,2020,2010,2015,6411
2026-02-05,2015,2020,2015,2015,3060
2026-02-06,2010,2015,2010,2010,11619
2026-02-09,2005,2015,2005,2015,1303
2026-02-10,2015,2030,2010,2015,54366
2026-02-11,2015,2065,2015,2040,55911
2026-02-12,2030,2055,2030,2035,14048
2026-02-13,2035,2045,2035,2045,8987
2026-02-19,2050,2055,2045,2050,4292
2026-02-20,2050,2055,2040,2055,15189
2026-02-23,2040,2050,2035,2035,21675
2026-02-24,2035,2040,2035,2035,4215
2026-02-25,2040,2050,2035,2045,25655
2026-02-26,2050,2050,2030,2035,7748
2026-02-27,2035,2045,2030,2040,15908
2026-03-03,2030,2045,2025,2035,12077
2026-03-04,2030,2035,2000,2015,32949
2026-03-05,2015,2030,2000,2025,38469
2026-03-06,2025,2035,2005,2025,5789
2026-03-09,2025,2030,2010,2025,11170
2026-03-10,2025,2030,2005,2020,4442
2026-03-11,2020,2030,2020,2030,2391
2026-03-12,2030,2035,2020,2035,1361
2026-03-13,2025,2040,2020,2040,2910
2026-03-16,2040,2040,2015,2020,11041
2026-03-17,2020,2025,2015,2020,1421
2026-03-18,2025,2025,2015,2025,1937
2026-03-19,2020,2025,2005,2020,2766
2026-03-20,2020,2025,2015,2025,2040
2026-03-23,2025,2025,2005,2020,3097
2026-03-24,2020,2025,2015,2015,10132
2026-03-25,2015,2020,2010,2020,2263
2026-03-26,2020,2020,2015,2015,2164
2026-03-27,2015,2020,2010,2015,9078
2026-03-30,2015,2015,2005,2015,1634
2026-03-31,2010,2020,2000,2015,22192
2026-04-01,2015,2015,2005,2015,18249
2026-04-02,2015,2015,2005,2005,3320
2026-04-03,2005,2015,2005,2005,11981
2026-04-06,2015,2015,2005,2015,4137
2026-04-07,2010,2015,2005,2010,9905
2026-04-08,2015,2015,2005,2010,6005
2026-04-09,2010,2020,2010,2010,2008
2026-04-10,2010,2020,2010,2015,5375
2026-04-13,2015,2015,2005,2005,597
2026-04-14,2010,2010,2000,2010,37779
