Date,Open,High,Low,Close,Volume
2025-08-06,2565,3075,1984,1985,41345892
2025-08-07,1985,1994,1975,1991,1299731
2025-08-08,1992,1993,1984,1990,278759
2025-08-11,1991,1993,1984,1990,224477
2025-08-12,1990,1993,1985,1993,136893
2025-08-13,1988,1993,1986,1987,99929
2025-08-14,1987,1990,1986,1987,73865
2025-08-18,1987,1991,1985,1988,117651
2025-08-19,1988,1989,1985,1988,93019
2025-08-20,1988,1990,1984,1985,67794
2025-08-21,1985,1990,1983,1984,111466
2025-08-22,1984,1990,1984,1988,70621
2025-08-25,1988,1991,1985,1990,100442
2025-08-26,1990,1994,1989,1992,75396
2025-08-27,1989,1994,1989,1992,38057
2025-08-28,1992,1995,1990,1994,26948
2025-08-29,1992,1996,1992,1994,23676
2025-09-01,1994,1996,1990,1996,36795
2025-09-02,1995,1996,1992,1992,17351
2025-09-03,1992,1996,1991,1995,45937
2025-09-04,1995,1997,1993,1995,19761
2025-09-05,1995,1998,1995,1995,47381
2025-09-08,1995,2000,1988,1997,49514
2025-09-09,2000,2005,1995,2000,40581
2025-09-10,2000,2005,2000,2005,24642
2025-09-11,2000,2005,2000,2000,16744
2025-09-12,2000,2005,1998,2000,26880
2025-09-15,2005,2010,2000,2005,74925
2025-09-16,2005,2005,2000,2005,36239
2025-09-17,2000,2005,2000,2005,34205
2025-09-18,2005,2005,1997,2000,58092
2025-09-19,2000,2000,1999,2000,19956
2025-09-22,2000,2005,1997,1998,6558
2025-09-23,2005,2005,1994,1998,17332
2025-09-24,1997,2000,1997,2000,689
2025-09-25,2000,2000,1997,1999,4975
2025-09-26,1997,2000,1996,1998,10441
2025-09-29,1998,2005,1996,1999,60332
2025-09-30,1999,2005,1997,2000,8306
2025-10-01,2000,2005,1999,2005,10896
2025-10-02,1998,2000,1998,1999,9894
2025-10-10,1999,2000,1996,1999,19192
2025-10-13,1999,2000,1998,2000,9782
2025-10-14,2000,2000,1997,1999,10711
2025-10-15,1999,2000,1997,2000,6769
2025-10-16,1999,2000,1997,1998,8590
2025-10-17,1999,2000,1998,1998,6883
2025-10-20,1999,2000,1997,2000,35801
2025-10-21,1998,2005,1995,1995,27099
2025-10-22,2000,2000,1991,1998,10954
2025-10-23,1995,1999,1995,1997,2194
2025-10-24,1997,1999,1995,1999,18818
2025-10-27,1999,2000,1998,1998,9558
2025-10-28,2000,2005,1994,1997,33949
2025-10-29,1997,2000,1997,2000,8985
2025-10-30,1993,2005,1993,2000,18207
2025-10-31,1996,2005,1996,2000,7821
2025-11-03,2000,2000,1995,1998,37321
2025-11-04,1998,2000,1998,1999,10885
2025-11-05,1999,1999,1993,1995,66970
2025-11-06,1995,1999,1994,1995,13988
2025-11-07,1995,1999,1994,1999,6904
2025-11-10,1999,2000,1999,1999,8333
2025-11-11,1994,2000,1994,1999,27528
2025-11-12,1999,1999,1995,1996,2937
2025-11-13,1993,1997,1993,1995,11555
2025-11-14,1996,1998,1994,1995,1804
2025-11-17,1994,1999,1994,1997,1992
2025-11-18,1997,1998,1994,1995,7008
2025-11-19,1992,1998,1992,1997,8395
2025-11-20,1997,1997,1991,1996,2754
2025-11-21,1995,1997,1994,1996,3796
2025-11-24,1996,1999,1991,1998,10275
2025-11-25,1998,1999,1981,1997,5938
2025-11-26,1989,1998,1989,1998,6520
2025-11-27,1997,1999,1997,1998,7481
2025-11-28,1998,1999,1996,1998,4334
2025-12-01,1998,2010,1996,1996,22032
2025-12-02,1998,2015,1997,2005,44463
2025-12-03,2005,2010,2000,2005,13138
2025-12-04,2000,2015,2000,2015,41199
2025-12-05,2015,2025,2005,2025,11384
2025-12-08,2025,2030,2010,2015,4711
2025-12-09,2015,2020,2010,2015,1836
2025-12-10,2015,2015,2010,2015,3559
2025-12-11,2005,2010,1985,2005,11106
2025-12-12,2000,2005,1987,1999,18225
2025-12-15,1999,2005,1993,2000,70892
2025-12-16,2000,2000,1990,1992,5018
2025-12-17,1991,2000,1991,2000,6601
2025-12-18,1993,1999,1993,1998,1419
2025-12-19,1993,1999,1993,1998,1172
2025-12-22,1998,2005,1997,2005,16520
2025-12-23,2000,2005,2000,2000,1879
2025-12-24,2000,2010,2000,2005,2523
2025-12-26,2005,2005,2000,2005,1086
2025-12-29,2005,2005,2000,2005,2111
2025-12-30,2005,2005,2000,2005,4343
2026-01-02,2005,2005,2000,2000,2550
2026-01-05,2005,2005,2000,2005,4085
2026-01-06,2000,2010,2000,2010,4582
2026-01-07,2005,2010,2000,2005,10325
2026-01-08,2000,2005,2000,2005,277
2026-01-09,2010,2010,2000,2005,3970
2026-01-12,2000,2005,2000,2005,12712
2026-01-13,2000,2005,2000,2005,22811
2026-01-14,2000,2005,2000,2005,1088
2026-01-15,2005,2005,2000,2005,2995
2026-01-16,2005,2005,2000,2005,5148
2026-01-19,2005,2005,2000,2005,3240
2026-01-20,2005,2005,2000,2005,1422
2026-01-21,2000,2005,2000,2005,2181
2026-01-22,2005,2010,2000,2000,14467
2026-01-23,2005,2005,2000,2005,33555
2026-01-26,2005,2005,2000,2005,4492
2026-01-27,2005,2005,2000,2005,15695
2026-01-28,2000,2005,2000,2005,13948
2026-01-29,2005,2005,1999,2005,2973
2026-01-30,2005,2005,1998,2005,9189
2026-02-02,2005,2005,2000,2005,2907
2026-02-03,2005,2005,2000,2005,1612
2026-02-04,2005,2005,2000,2005,4748
2026-02-05,2005,2005,2000,2005,3497
2026-02-06,2005,2010,1998,2010,8882
2026-02-09,2010,2015,2005,2015,8871
2026-02-10,2015,2015,2010,2010,24885
2026-02-11,2005,2025,2005,2025,53701
2026-02-12,2020,2027,2020,2025,10429
2026-02-13,2025,2030,2025,2030,12406
2026-02-19,2030,2030,2025,2025,9492
2026-02-20,2025,2030,2020,2030,1776
2026-02-23,2025,2030,2025,2025,2622
2026-02-24,2030,2030,2025,2030,6083
2026-02-25,2025,2055,2025,2035,74101
2026-02-26,2035,2035,2020,2020,4650
2026-02-27,2020,2035,2020,2030,5466
