Date,Open,High,Low,Close,Volume
2025-09-30,2160,2400,1975,1988,14885987
2025-10-01,1988,1999,1984,1998,563414
2025-10-02,1997,2000,1994,1996,182150
2025-10-10,2000,2000,1994,1994,106355
2025-10-13,1992,1995,1991,1993,89711
2025-10-14,1993,1993,1990,1991,98109
2025-10-15,1992,1994,1991,1991,69012
2025-10-16,1991,1994,1991,1993,88234
2025-10-17,1992,1998,1992,1996,71368
2025-10-20,1996,1999,1995,1998,72381
2025-10-21,2005,2005,1997,1998,35598
2025-10-22,1999,2005,1998,2000,36905
2025-10-23,2000,2000,1998,1998,20839
2025-10-24,2000,2010,1996,2000,51962
2025-10-27,2000,2010,1997,2005,55969
2025-10-28,2005,2025,2005,2020,63902
2025-10-29,2020,2020,2010,2015,15260
2025-10-30,2015,2025,1999,2005,178649
2025-10-31,2000,2005,1906,2005,103312
2025-11-03,2005,2010,1995,2005,38239
2025-11-04,2005,2005,1995,2000,60481
2025-11-05,2000,2005,1996,2005,43387
2025-11-06,2000,2000,1995,2000,25985
2025-11-07,2000,2000,1996,1998,4205
2025-11-10,2000,2000,1998,2000,13165
2025-11-11,1999,2000,1993,2000,5097
2025-11-12,1999,2000,1996,1999,8397
2025-11-13,2000,2000,1996,1997,14282
2025-11-14,1996,2000,1992,1995,28228
2025-11-17,1995,1998,1994,1998,27405
2025-11-18,1996,1999,1995,1995,56786
2025-11-19,1995,1997,1994,1996,23652
2025-11-20,1997,1999,1996,1997,27362
2025-11-21,1997,2000,1995,1997,20390
2025-11-24,1999,1999,1995,1998,18594
2025-11-25,1998,1998,1995,1997,14491
2025-11-26,1997,2000,1997,1998,16421
2025-11-27,1998,1998,1996,1997,36440
2025-11-28,1996,2000,1992,2000,24923
2025-12-01,2005,2205,2000,2080,746383
2025-12-02,2270,2465,2075,2220,8537777
2025-12-03,2355,2440,2030,2045,3208074
2025-12-04,2050,2160,2020,2095,977894
2025-12-05,2060,2095,2035,2060,358801
2025-12-08,2055,2070,2020,2035,332533
2025-12-09,2030,2045,2020,2045,207682
2025-12-10,2030,2065,2015,2020,251504
