Date,Open,High,Low,Close,Volume
2025-09-30,1983,1991,1964,1976,6121523
2025-10-01,1974,1983,1972,1980,485229
2025-10-02,1981,1985,1979,1981,100298
2025-10-10,1980,1983,1978,1982,150899
2025-10-13,1981,1983,1979,1982,81445
2025-10-14,1982,1982,1980,1982,69076
2025-10-15,1982,1982,1979,1979,128021
2025-10-16,1979,1982,1979,1981,126175
2025-10-17,1981,1982,1979,1982,117828
2025-10-20,1980,1982,1980,1981,243669
2025-10-21,1982,1982,1968,1981,182976
2025-10-22,1979,1982,1979,1981,36697
2025-10-23,1981,1983,1980,1983,177273
2025-10-24,1983,1983,1980,1983,46708
2025-10-27,1983,1984,1981,1983,115862
2025-10-28,1983,1984,1982,1982,70804
2025-10-29,1982,1983,1981,1983,31337
2025-10-30,1983,1984,1980,1982,92502
2025-10-31,1982,1982,1979,1982,57125
2025-11-03,1983,1983,1979,1979,96854
2025-11-04,1979,1982,1979,1980,17756
2025-11-05,1983,1983,1980,1981,116037
2025-11-06,1981,1985,1979,1984,81867
2025-11-07,1980,1984,1979,1980,33165
2025-11-10,1983,1984,1980,1984,27493
2025-11-11,1986,1986,1981,1982,9048
2025-11-12,1982,1984,1980,1981,27751
2025-11-13,1979,1982,1979,1981,10675
2025-11-14,1980,1983,1979,1982,24063
2025-11-17,1982,1984,1982,1982,17442
2025-11-18,1984,1984,1981,1982,7631
2025-11-19,1983,1984,1981,1982,29790
2025-11-20,1983,1985,1982,1983,43779
2025-11-21,1983,1984,1980,1983,8681
2025-11-24,1982,1984,1980,1982,35765
2025-11-25,1983,1983,1981,1982,17359
2025-11-26,1982,1983,1979,1981,56083
2025-11-27,1981,1984,1980,1983,80562
2025-11-28,1981,1984,1980,1984,38951
2025-12-01,1981,1984,1981,1983,59019
2025-12-02,1983,1996,1982,1988,143132
2025-12-03,1990,1998,1986,1994,36949
2025-12-04,1995,2005,1994,2000,99585
2025-12-05,2000,2000,1995,1997,29058
2025-12-08,1997,2000,1995,2000,23905
2025-12-09,1996,1999,1995,1997,7429
2025-12-10,1998,1999,1965,1995,14101
2025-12-11,1994,1997,1993,1994,27335
2025-12-12,1994,1999,1993,1993,26524
2025-12-15,1993,1999,1990,1995,23655
2025-12-16,1995,1998,1985,1992,23821
2025-12-17,1993,1993,1982,1984,42173
2025-12-18,1985,1990,1984,1988,26706
2025-12-19,1988,1992,1988,1988,6695
2025-12-22,1987,1993,1984,1988,95904
2025-12-23,1988,1996,1986,1988,16736
2025-12-24,1988,2000,1987,1991,50896
2025-12-26,1989,1999,1989,1992,18850
2025-12-29,1992,1993,1988,1990,34158
2025-12-30,1991,1993,1987,1987,17638
2026-01-02,1989,1990,1988,1989,1720
2026-01-05,1993,1993,1990,1992,2733
2026-01-06,1992,2000,1990,1995,38159
