Date,Open,High,Low,Close,Volume
2025-11-24,3300,5200,1998,2005,78354738
2025-11-25,2005,2045,1996,2000,1571084
2025-11-26,2010,2020,2000,2010,373173
2025-11-27,2010,2020,2000,2010,288844
2025-11-28,2010,2025,2000,2010,181848
2025-12-01,2010,2042,2005,2035,200299
2025-12-02,2025,2190,2020,2055,346259
2025-12-03,2095,2095,2050,2070,177379
2025-12-04,2060,2095,2055,2090,98671
2025-12-05,2070,2080,2055,2070,60387
2025-12-08,2070,2085,2060,2075,31756
2025-12-09,2045,2075,2005,2010,646240
2025-12-10,2010,2015,2005,2010,270813
2025-12-11,2010,2020,2005,2020,108295
2025-12-12,2010,2025,2010,2025,203288
2025-12-15,2015,2020,2005,2010,331771
2025-12-16,2010,2010,1998,1999,357036
2025-12-17,2010,2010,1998,2000,182640
2025-12-18,2000,2015,2000,2010,51135
2025-12-19,2005,2010,2000,2005,112145
2025-12-22,2005,2020,2005,2010,41239
2025-12-23,2010,2020,2005,2015,34037
2025-12-24,2010,2020,2010,2010,15784
2025-12-26,2010,2025,2010,2015,18351
2025-12-29,2015,2020,2010,2020,66749
2025-12-30,2020,2020,2010,2020,30861
2026-01-02,2010,2030,2010,2025,57874
2026-01-05,2020,2030,2020,2025,50893
2026-01-06,2020,2030,2015,2025,166281
2026-01-07,2025,2030,2015,2030,36974
2026-01-08,2030,2030,2020,2025,11403
2026-01-09,2025,2030,2020,2030,13173
2026-01-12,2015,2030,2015,2020,89715
2026-01-13,2025,2030,2020,2025,33964
2026-01-14,2025,2030,2015,2025,81444
2026-01-15,2025,2030,2020,2030,13361
2026-01-16,2020,2030,2020,2030,21599
2026-01-19,2030,2030,2025,2025,17276
2026-01-20,2025,2035,2025,2035,17429
2026-01-21,2025,2035,2025,2030,9637
2026-01-22,2030,2035,2020,2030,62152
2026-01-23,2030,2040,2025,2030,38873
2026-01-26,2030,2045,2030,2040,24633
2026-01-27,2040,2040,2030,2035,8407
2026-01-28,2035,2040,2030,2035,14885
2026-01-29,2030,2040,2030,2040,11207
2026-01-30,2035,2060,2030,2050,72846
2026-02-02,2050,2050,2035,2045,30062
2026-02-03,2045,2050,2040,2050,7920
2026-02-04,2050,2065,2045,2065,9211
2026-02-05,2060,2075,2055,2065,20680
2026-02-06,2055,2060,2045,2050,34944
2026-02-09,2055,2080,2055,2080,39446
2026-02-10,2080,2080,2065,2080,18681
2026-02-11,2080,2095,2070,2095,73915
2026-02-12,2090,2095,2085,2095,10898
2026-02-13,2080,2095,2080,2085,2758
2026-02-19,2085,2095,2085,2085,17654
2026-02-20,2090,2090,2080,2085,46023
2026-02-23,2080,2120,2075,2090,46602
2026-02-24,2090,2100,2085,2100,3394
2026-02-25,2095,2100,2090,2100,2014
2026-02-26,2100,2100,2090,2100,11339
2026-02-27,2090,2105,2085,2090,10505
2026-03-03,2080,2090,2075,2090,24948
2026-03-04,2075,2080,2065,2065,16301
2026-03-05,2065,2080,2065,2080,15195
2026-03-06,2065,2090,2060,2085,33338
2026-03-09,2085,2085,2065,2075,13161
2026-03-10,2080,2085,2075,2080,13899
2026-03-11,2080,2100,2080,2095,30430
2026-03-12,2095,2100,2090,2090,9227
2026-03-13,2090,2095,2080,2085,7589
2026-03-16,2080,2085,2070,2080,40796
2026-03-17,2070,2085,2065,2080,12472
2026-03-18,2065,2080,2065,2080,52536
2026-03-19,2075,2080,2070,2080,1065
2026-03-20,2070,2075,2060,2075,33077
2026-03-23,2065,2075,2060,2075,2334
2026-03-24,2075,2080,2060,2075,6812
2026-03-25,2065,2065,2045,2060,84467
2026-03-26,2055,2065,2045,2065,62705
2026-03-27,2065,2070,2055,2060,43294
2026-03-30,2050,2065,2045,2055,9613
2026-03-31,2055,2060,2055,2060,29370
2026-04-01,2060,2065,2055,2060,20939
2026-04-02,2055,2060,2050,2060,12819
2026-04-03,2060,2065,2050,2065,4271
2026-04-06,2055,2065,2050,2065,23990
2026-04-07,2060,2075,2055,2065,26985
2026-04-08,2055,2070,2055,2065,1636
2026-04-09,2065,2065,2060,2065,284
2026-04-10,2065,2065,2055,2065,3374
2026-04-13,2065,2080,2055,2075,43740
2026-04-14,2065,2075,2065,2075,1386
2026-04-15,2060,2075,2055,2075,15096
2026-04-16,2075,2075,2055,2055,6955
2026-04-17,2060,2075,2055,2070,12979
2026-04-20,2070,2080,2065,2070,52874
2026-04-21,2070,2090,2070,2085,32437
2026-04-22,2085,2090,2070,2080,11521
2026-04-23,2070,2085,2070,2075,15819
2026-04-24,2070,2085,2065,2080,21373
2026-04-27,2075,2080,2055,2070,11861
2026-04-28,2060,2065,2055,2060,853
2026-04-29,2060,2080,2057,2075,24034
2026-04-30,2060,2080,2060,2080,8322
2026-05-04,2080,2085,2070,2085,14982
2026-05-06,2070,2080,2070,2077,401
2026-05-07,2070,2075,2065,2070,607
2026-05-08,2070,2085,2060,2070,1310
2026-05-11,2060,2065,2050,2065,16331
2026-05-12,2065,2065,2050,2060,3010
2026-05-13,2060,2085,2050,2065,30501
2026-05-14,2065,2065,2060,2065,10246
