Date,Open,High,Low,Close,Volume
2025-12-01,4500,5900,3045,3335,59833928
2025-12-02,3720,4335,3645,4335,4770357
2025-12-03,5500,5630,3640,3640,12885675
2025-12-04,3785,3840,3160,3200,2915330
2025-12-05,3115,3150,2640,2655,1555432
2025-12-08,2605,2625,2305,2360,840865
2025-12-09,2270,2325,2060,2060,592810
2025-12-10,2065,2225,2040,2055,445581
2025-12-11,2040,2060,2020,2035,291055
2025-12-12,2070,2125,2030,2030,160602
2025-12-15,2030,2045,2015,2015,180279
2025-12-16,2000,2005,1987,1996,529930
2025-12-17,1996,2015,1995,1997,129540
2025-12-18,1997,1999,1993,1994,243245
2025-12-19,1995,1999,1984,1990,217067
2025-12-22,1990,2005,1989,1997,192783
2025-12-23,1998,2005,1992,1993,255697
2025-12-24,1993,2000,1993,1994,76312
2025-12-26,2000,2000,1990,1990,94969
2025-12-29,1992,1996,1990,1990,71433
2025-12-30,1992,1993,1990,1992,33854
2026-01-02,1992,1997,1987,1995,50401
2026-01-05,1993,2030,1989,1992,114947
2026-01-06,1995,2005,1990,1994,94609
2026-01-07,1993,2005,1992,1994,73817
2026-01-08,1993,2000,1986,1987,93733
2026-01-09,1987,1997,1985,1993,36182
2026-01-12,1993,1998,1987,1988,109119
2026-01-13,1988,1988,1979,1982,146408
2026-01-14,1990,1990,1976,1981,287869
2026-01-15,1988,1991,1978,1980,77995
2026-01-16,1980,1990,1978,1979,102107
2026-01-19,1980,1985,1977,1978,121739
2026-01-20,1979,1979,1972,1975,197835
2026-01-21,1975,1980,1963,1968,112460
2026-01-22,1970,1977,1968,1975,39595
2026-01-23,1975,1981,1972,1976,76644
2026-01-26,1976,1989,1976,1989,76763
2026-01-27,1983,1990,1982,1984,79873
2026-01-28,1984,1998,1981,1998,72843
2026-01-29,1998,1999,1989,1999,35281
2026-01-30,1990,1996,1989,1993,32118
2026-02-02,1991,1998,1983,1997,79876
2026-02-03,1997,2000,1990,2000,37641
2026-02-04,1993,2005,1993,2000,28701
2026-02-05,1995,2000,1992,1994,19394
2026-02-06,1995,2005,1992,2005,40047
2026-02-09,2005,2020,1999,2015,60136
2026-02-10,2020,2040,2005,2035,33458
2026-02-11,2035,2065,2020,2060,41767
2026-02-12,2060,2070,2025,2055,101422
2026-02-13,2035,2050,2030,2050,11890
2026-02-19,2050,2065,2050,2050,75013
2026-02-20,2055,2055,2035,2045,12865
2026-02-23,2040,2045,2030,2035,36372
2026-02-24,2030,2040,2025,2035,11457
2026-02-25,2045,2045,2020,2040,54029
2026-02-26,2025,2035,2020,2035,41655
2026-02-27,2035,2045,2030,2035,38536
2026-03-03,2025,2035,2020,2020,16925
2026-03-04,2015,2020,2000,2005,95565
2026-03-05,2015,2020,2005,2015,13023
2026-03-06,2000,2015,2000,2010,8567
2026-03-09,2005,2015,2005,2010,27718
2026-03-10,2010,2025,2000,2015,59378
2026-03-11,2010,2025,2010,2015,7498
2026-03-12,2015,2025,2010,2020,12915
2026-03-13,2020,2020,2010,2010,13326
2026-03-16,2020,2020,2010,2015,4136
2026-03-17,2010,2015,2005,2010,17319
2026-03-18,2010,2010,2005,2010,8013
2026-03-19,2010,2015,2005,2010,2200
2026-03-20,2005,2015,2005,2010,9976
2026-03-23,2015,2015,2005,2010,10260
2026-03-24,2005,2010,2000,2010,8620
2026-03-25,2000,2010,2000,2000,26420
2026-03-26,2000,2010,1999,2010,13761
2026-03-27,2010,2010,1998,2005,4258
2026-03-30,2010,2010,1998,2005,8309
2026-03-31,2000,2005,1997,1997,5631
2026-04-01,1999,2005,1999,2000,1995
2026-04-02,1994,2005,1994,2005,12986
2026-04-03,1998,2005,1997,2005,8191
2026-04-06,2005,2010,2000,2010,9527
2026-04-07,1998,2005,1998,2000,2078
2026-04-08,2000,2005,2000,2000,18733
2026-04-09,2000,2005,1999,2000,15300
2026-04-10,2007,2010,2000,2005,9533
2026-04-13,2005,2010,2000,2010,5969
2026-04-14,2005,2010,2000,2010,5197
2026-04-15,2000,2010,2000,2010,22501
2026-04-16,2000,2010,2000,2005,6935
2026-04-17,2005,2010,2000,2010,23380
2026-04-20,2010,2015,2005,2010,5672
2026-04-21,2015,2015,2000,2010,43150
2026-04-22,2005,2010,2000,2005,3475
2026-04-23,2000,2005,1998,2005,14074
2026-04-24,2005,2010,2000,2010,18897
2026-04-27,2010,2010,1999,2005,12597
2026-04-28,2005,2005,2000,2005,21017
2026-04-29,1999,2005,1999,2005,8849
2026-04-30,2000,2002,2000,2000,881
2026-05-04,2000,2005,1998,1999,14071
2026-05-06,2000,2000,1995,1999,5134
2026-05-07,1999,2005,1998,2000,8834
2026-05-08,1995,2005,1995,2000,4348
2026-05-11,1996,2005,1987,2000,84312
2026-05-12,1990,2000,1990,1999,3684
2026-05-13,1999,2005,1991,1997,17400
2026-05-14,1997,2000,1995,1995,13973
2026-05-15,1995,2005,1991,2005,40018
2026-05-18,2005,2005,1996,1999,11448
2026-05-19,1999,2000,1982,1995,18468
2026-05-20,1989,2005,1989,1995,69956
2026-05-21,1996,2005,1993,1995,3035
2026-05-22,1995,2000,1993,2000,2689
2026-05-26,2000,2000,1992,1997,2565
2026-05-27,2000,2000,1988,1994,11833
2026-05-28,1994,2000,1991,1995,10289
2026-05-29,1995,1999,1988,1998,9127
2026-06-01,1998,1998,1993,1993,16966
2026-06-02,1990,1993,1989,1992,11707
