Date,Open,High,Low,Close,Volume
2025-12-23,5050,5480,1985,1991,58155534
2025-12-24,1987,1993,1978,1990,1272389
2025-12-26,1990,1990,1982,1986,387990
2025-12-29,1991,1991,1981,1982,246064
2025-12-30,1982,1988,1981,1982,119552
2026-01-02,1982,1987,1980,1985,116883
2026-01-05,1985,1987,1983,1986,163719
2026-01-06,1984,1997,1982,1995,137090
2026-01-07,1993,1996,1983,1990,283053
2026-01-08,1989,1993,1981,1981,243242
2026-01-09,1982,1991,1981,1990,106903
2026-01-12,1990,1993,1983,1989,131405
2026-01-13,1989,1989,1979,1980,217700
2026-01-14,1981,1986,1972,1979,378131
2026-01-15,1979,1988,1975,1986,146842
2026-01-16,1986,1986,1977,1983,127828
2026-01-19,1982,1983,1974,1979,135777
2026-01-20,1979,1979,1966,1970,373242
2026-01-21,1977,1977,1965,1970,152238
2026-01-22,1970,1974,1967,1970,82917
2026-01-23,1971,1977,1970,1970,111308
2026-01-26,1971,1982,1971,1982,88020
2026-01-27,1982,1986,1980,1986,77074
2026-01-28,1980,1989,1978,1989,108979
2026-01-29,1989,1989,1981,1987,30675
2026-01-30,1980,1989,1979,1989,77262
2026-02-02,1990,1991,1981,1987,138356
2026-02-03,1982,1991,1982,1991,50037
2026-02-04,1991,1993,1987,1992,55441
2026-02-05,1992,1993,1988,1993,13712
2026-02-06,1993,1995,1988,1994,51682
2026-02-09,1994,2000,1994,1998,68361
2026-02-10,1998,2010,1998,2010,134238
2026-02-11,2005,2015,2005,2015,55884
2026-02-12,2015,2020,2000,2020,101482
2026-02-13,2020,2025,2010,2020,69645
2026-02-19,2020,2025,2010,2020,52597
2026-02-20,2020,2030,2010,2020,45677
2026-02-23,2020,2020,2010,2015,27675
2026-02-24,2010,2020,2010,2015,13891
2026-02-25,2015,2020,2010,2020,41891
2026-02-26,2020,2025,2015,2020,16039
2026-02-27,2020,2025,2015,2020,64180
2026-03-03,2015,2020,2010,2010,20503
2026-03-04,2010,2010,1998,1999,131936
2026-03-05,2000,2015,1999,2005,46500
2026-03-06,2005,2015,2005,2010,33200
2026-03-09,2010,2015,1994,1998,24552
2026-03-10,2000,2015,1998,2005,56474
2026-03-11,2005,2015,2005,2015,3953
2026-03-12,2010,2015,2010,2015,4165
2026-03-13,2015,2015,2010,2015,6995
2026-03-16,2015,2017,2010,2015,15222
2026-03-17,2015,2015,2005,2010,8333
2026-03-18,2010,2020,2010,2020,35823
2026-03-19,2015,2020,2010,2015,5968
2026-03-20,2015,2015,2005,2010,3829
2026-03-23,2010,2015,2005,2010,5732
2026-03-24,2010,2015,2000,2000,8860
2026-03-25,2000,2010,2000,2000,5332
2026-03-26,2000,2005,1999,1999,24359
2026-03-27,1999,2005,1999,2000,16089
2026-03-30,2000,2005,2000,2000,8784
2026-03-31,2000,2005,2000,2000,2755
2026-04-01,2000,2005,1999,2000,13260
2026-04-02,2000,2005,2000,2000,2742
2026-04-03,1995,2005,1995,2000,7729
2026-04-06,2000,2005,1999,2005,20581
2026-04-07,2005,2005,2000,2005,512
2026-04-08,2000,2005,1999,2000,18169
2026-04-09,2000,2005,2000,2005,34155
2026-04-10,2005,2005,2000,2005,5130
2026-04-13,2005,2005,2000,2005,3826
2026-04-14,2005,2010,2000,2000,6755
2026-04-15,2000,2010,2000,2010,31038
2026-04-16,2010,2010,2000,2000,7991
2026-04-17,2000,2020,2000,2010,138362
2026-04-20,2005,2015,2000,2000,32216
2026-04-21,2005,2010,2000,2005,2940
2026-04-22,2000,2010,2000,2005,6249
2026-04-23,2000,2010,2000,2000,9602
2026-04-24,2000,2010,2000,2000,19028
2026-04-27,2000,2010,1999,2005,10244
2026-04-28,2000,2005,1993,2005,59300
2026-04-29,2005,2005,2000,2005,9014
2026-04-30,2005,2005,1995,1998,7072
2026-05-04,2005,2005,1996,1998,1330
2026-05-06,1997,2000,1995,1997,7368
2026-05-07,1997,2000,1995,1997,3875
2026-05-08,1997,2000,1997,2000,4186
2026-05-11,1998,2000,1989,1991,40397
2026-05-12,1991,1999,1990,1991,8417
2026-05-13,1991,2000,1987,2000,34136
2026-05-14,1991,2000,1991,1998,2337
2026-05-15,1998,2000,1990,1992,24858
2026-05-18,1990,1995,1981,1993,25693
2026-05-19,1982,1998,1982,1994,32314
2026-05-20,1988,2000,1988,2000,22626
2026-05-21,2000,2000,1990,2000,18156
2026-05-22,1991,1999,1991,1998,2847
2026-05-26,1998,1998,1994,1997,1979
2026-05-27,1993,1998,1987,1996,10266
2026-05-28,1996,1998,1992,1998,7975
2026-05-29,1998,2005,1984,2000,33102
2026-06-01,1989,2000,1989,1997,1636
2026-06-02,1996,1996,1992,1995,12671
