Date,Open,High,Low,Close,Volume
2025-12-19,4835,6500,2600,2715,78952586
2025-12-22,2715,2715,2030,2055,2732740
2025-12-23,2055,2075,2035,2065,605458
2025-12-24,2065,2065,2045,2065,369784
2025-12-26,2065,2085,2065,2075,153712
2025-12-29,2075,2075,2055,2060,148519
2025-12-30,2060,2070,2060,2060,69859
2026-01-02,2060,2075,2055,2070,79119
2026-01-05,2060,2075,2035,2050,1935719
2026-01-06,2050,2075,2045,2065,156956
2026-01-07,2060,2070,2060,2070,48287
2026-01-08,2065,2075,2065,2070,39443
2026-01-09,2075,2085,2070,2070,74110
2026-01-12,2070,2090,2070,2090,40043
2026-01-13,2085,2095,2085,2090,42466
2026-01-14,2085,2095,2085,2095,39877
2026-01-15,2095,2105,2085,2095,38383
2026-01-16,2095,2115,2095,2100,14470
2026-01-19,2105,2120,2100,2115,29009
2026-01-20,2120,2130,2110,2130,26482
2026-01-21,2110,2125,2110,2115,69923
2026-01-22,2115,2130,2115,2120,68150
2026-01-23,2120,2145,2120,2135,22531
2026-01-26,2135,2155,2120,2140,38877
2026-01-27,2140,2170,2130,2145,27687
2026-01-28,2145,2165,2135,2135,18372
2026-01-29,2135,2160,2135,2150,17979
2026-01-30,2150,2205,2150,2180,85341
2026-02-02,2195,2195,2135,2140,21951
2026-02-03,2130,2170,2130,2170,56027
2026-02-04,2155,2170,2140,2160,29192
2026-02-05,2150,2160,2150,2155,8887
2026-02-06,2160,2170,2150,2160,21047
2026-02-09,2150,2195,2150,2180,35656
2026-02-10,2155,2185,2150,2185,16963
2026-02-11,2185,2190,2160,2165,14666
2026-02-12,2160,2190,2160,2180,29844
2026-02-13,2195,2195,2165,2165,14047
2026-02-19,2165,2175,2155,2170,13136
2026-02-20,2155,2195,2155,2180,63851
2026-02-23,2180,2180,2160,2170,14161
2026-02-24,2170,2170,2150,2160,7458
2026-02-25,2160,2160,2155,2160,8851
2026-02-26,2155,2155,2140,2150,11907
2026-02-27,2145,2180,2140,2145,13483
2026-03-03,2135,2160,2135,2150,16913
2026-03-04,2140,2155,2125,2130,32534
2026-03-05,2125,2150,2125,2140,15756
2026-03-06,2120,2145,2120,2140,7885
2026-03-09,2140,2150,2120,2145,30426
2026-03-10,2130,2155,2130,2150,4498
2026-03-11,2150,2160,2150,2160,15297
2026-03-12,2155,2155,2145,2155,3219
2026-03-13,2155,2160,2135,2155,9856
2026-03-16,2150,2160,2150,2160,10948
2026-03-17,2145,2155,2135,2155,750
2026-03-18,2155,2160,2140,2155,5001
2026-03-19,2150,2155,2135,2150,19685
2026-03-20,2140,2160,2140,2150,8014
2026-03-23,2145,2160,2145,2150,13831
2026-03-24,2145,2160,2145,2160,17165
2026-03-25,2150,2155,2145,2150,6829
2026-03-26,2150,2175,2150,2170,42091
2026-03-27,2165,2175,2155,2175,10411
2026-03-30,2170,2175,2165,2165,14327
2026-03-31,2145,2190,2145,2185,26234
2026-04-01,2185,2195,2170,2190,72223
2026-04-02,2170,2190,2170,2190,9431
2026-04-03,2170,2205,2170,2200,16765
2026-04-06,2180,2200,2180,2195,17609
2026-04-07,2195,2205,2195,2200,27313
2026-04-08,2200,2205,2190,2200,11194
2026-04-09,2200,2205,2190,2200,4193
2026-04-10,2200,2200,2180,2190,4348
2026-04-13,2180,2185,2160,2180,16714
2026-04-14,2175,2180,2170,2180,1928
2026-04-15,2175,2180,2145,2170,6690
2026-04-16,2165,2170,2155,2155,24328
2026-04-17,2155,2175,2145,2160,7431
2026-04-20,2160,2175,2160,2160,21597
2026-04-21,2160,2165,2160,2165,296
2026-04-22,2165,2165,2155,2165,2332
2026-04-23,2160,2160,2145,2155,9427
2026-04-24,2145,2150,2140,2150,8317
2026-04-27,2140,2140,2105,2130,35600
2026-04-28,2125,2125,2110,2120,40220
2026-04-29,2115,2145,2115,2125,27224
2026-04-30,2140,2140,2120,2135,8577
2026-05-04,2135,2145,2135,2145,48837
2026-05-06,2115,2145,2115,2145,321
2026-05-07,2145,2145,2110,2145,2465
2026-05-08,2130,2135,2110,2135,8989
2026-05-11,2140,2140,2095,2125,21080
2026-05-12,2125,2125,2095,2120,3005
2026-05-13,2115,2145,2115,2145,34183
2026-05-14,2135,2145,2115,2140,14639
