Date,Open,High,Low,Close,Volume
2025-12-22,3000,3300,1976,1977,35108364
2025-12-23,1978,1982,1973,1977,1289188
2025-12-24,1981,1982,1976,1980,393960
2025-12-26,1980,1982,1978,1982,262438
2025-12-29,1982,1983,1979,1981,93259
2025-12-30,1981,1987,1978,1981,89040
2026-01-02,1985,1985,1978,1982,95574
2026-01-05,1980,1984,1980,1982,100454
2026-01-06,1980,1983,1974,1981,277250
2026-01-07,1981,1983,1980,1983,222132
2026-01-08,1982,1984,1981,1982,171449
2026-01-09,1982,1985,1982,1984,71348
2026-01-12,1985,1985,1978,1981,140946
2026-01-13,1981,1983,1977,1981,410562
2026-01-14,1982,1983,1971,1977,621558
2026-01-15,1978,1979,1974,1974,111770
2026-01-16,1976,1980,1974,1978,135632
2026-01-19,1978,1978,1973,1978,154483
2026-01-20,1981,1981,1966,1970,474282
2026-01-21,1975,1975,1964,1967,229217
2026-01-22,1967,1974,1961,1969,192724
2026-01-23,1970,1975,1966,1969,151518
2026-01-26,1970,1978,1970,1977,99954
2026-01-27,1980,1980,1973,1978,74953
2026-01-28,1978,1987,1972,1980,94723
2026-01-29,1980,1981,1975,1978,45651
2026-01-30,1977,1984,1972,1983,142254
2026-02-02,1983,1984,1975,1983,139188
2026-02-03,1972,1984,1972,1984,125357
2026-02-04,1984,1987,1978,1987,89286
2026-02-05,1987,1990,1980,1988,115847
2026-02-06,1989,1990,1987,1990,74159
2026-02-09,1989,1998,1987,1998,343865
2026-02-10,1998,2010,1995,2010,160471
2026-02-11,2005,2015,2005,2005,87679
2026-02-12,2005,2010,2000,2005,68513
2026-02-13,2005,2015,2005,2015,64223
2026-02-19,2015,2020,2005,2020,67630
2026-02-20,2020,2025,2010,2020,117366
2026-02-23,2010,2020,2010,2015,17310
2026-02-24,2015,2020,2010,2015,44229
2026-02-25,2015,2015,2005,2005,39925
2026-02-26,2010,2020,2005,2010,121020
2026-02-27,2010,2010,2000,2010,66373
2026-03-03,2005,2010,2000,2005,60594
2026-03-04,2005,2005,1997,1999,104407
2026-03-05,2000,2005,1999,2005,19524
2026-03-06,2005,2010,2000,2005,40847
2026-03-09,2000,2005,1991,1999,30595
2026-03-10,2000,2010,1999,2010,60678
2026-03-11,2015,2015,2005,2010,11191
2026-03-12,2000,2015,2000,2010,13198
2026-03-13,2010,2015,2005,2015,9359
2026-03-16,2015,2015,2010,2010,17120
2026-03-17,2010,2010,2005,2010,1104
2026-03-18,2010,2020,2005,2010,33770
2026-03-19,2010,2015,2000,2010,19129
2026-03-20,2000,2015,2000,2010,7182
2026-03-23,2005,2015,2000,2005,25093
2026-03-24,2005,2010,2000,2005,6210
2026-03-25,2005,2005,2000,2000,11945
2026-03-26,2000,2005,1999,1999,14594
2026-03-27,1999,2010,1999,2005,8409
2026-03-30,2005,2005,2000,2005,24498
2026-03-31,2010,2010,1999,2000,25067
2026-04-01,2010,2010,2000,2010,7066
2026-04-02,2000,2010,2000,2000,1314
2026-04-03,2005,2015,1997,2000,22954
2026-04-06,2000,2010,2000,2000,14300
2026-04-07,2000,2010,2000,2000,2530
2026-04-08,2000,2010,2000,2010,1145
2026-04-09,2010,2010,2000,2010,1278
2026-04-10,2010,2010,2000,2000,15409
2026-04-13,2005,2015,2000,2000,46633
2026-04-14,2010,2010,2000,2000,4725
2026-04-15,2010,2010,2000,2000,31553
2026-04-16,2000,2005,2000,2005,8294
2026-04-17,2000,2010,1995,2005,60972
2026-04-20,2005,2015,2000,2010,6326
2026-04-21,2010,2015,2000,2000,8523
2026-04-22,2010,2010,2000,2010,5563
2026-04-23,2000,2010,2000,2005,24249
2026-04-24,2000,2015,2000,2005,22566
2026-04-27,2005,2005,1998,1998,25724
2026-04-28,2005,2005,1997,1998,60357
2026-04-29,1999,2000,1995,1998,2599
2026-04-30,1998,2000,1998,1999,2202
2026-05-04,1999,2005,1999,2000,2824
2026-05-06,2000,2005,1997,1997,6588
2026-05-07,2000,2005,1995,2000,17134
2026-05-08,2000,2005,1995,2005,7520
2026-05-11,2000,2005,1994,2005,20584
2026-05-12,2000,2000,1993,1998,22444
2026-05-13,2000,2000,1988,1998,22214
2026-05-14,2005,2005,1991,1999,3704
2026-05-15,1999,1999,1990,1991,21836
2026-05-18,2000,2000,1989,1997,18563
2026-05-19,2000,2005,1990,1997,14675
2026-05-20,2000,2005,1991,2000,18865
2026-05-21,1999,1999,1993,1993,1686
2026-05-22,1999,1999,1992,1995,9162
2026-05-26,1995,2005,1988,1992,17601
2026-05-27,2000,2000,1991,1998,4125
2026-05-28,2000,2000,1995,1998,9152
2026-05-29,1998,2005,1998,2000,22069
