Date,Open,High,Low,Close,Volume
2025-12-11,3015,3850,1981,1985,69568623
2025-12-12,1991,1992,1979,1982,1983495
2025-12-15,1981,1995,1979,1985,442645
2025-12-16,1981,1986,1978,1984,379920
2025-12-17,1981,1987,1979,1984,218611
2025-12-18,1983,1990,1979,1988,175495
2025-12-19,1986,1988,1981,1985,96516
2025-12-22,1985,1989,1980,1985,148072
2025-12-23,1985,1985,1981,1985,113369
2025-12-24,1984,1988,1983,1985,53992
2025-12-26,1984,1988,1984,1988,65236
2025-12-29,1988,1988,1982,1985,40277
2025-12-30,1982,1985,1981,1985,44503
2026-01-02,1984,1991,1980,1990,34723
2026-01-05,1990,1990,1984,1987,61361
2026-01-06,1985,1994,1984,1989,84530
2026-01-07,1989,1997,1985,1996,100787
2026-01-08,1996,1998,1993,1996,50400
2026-01-09,1998,1999,1995,1997,93148
2026-01-12,1996,2005,1995,1997,69066
2026-01-13,1997,2000,1991,1992,26631
2026-01-14,1993,1995,1987,1988,22650
2026-01-15,1990,1995,1988,1989,15309
2026-01-16,1993,1994,1987,1991,19984
2026-01-19,1991,1996,1988,1992,25191
2026-01-20,1992,1995,1989,1995,44920
2026-01-21,1995,1995,1983,1994,26864
2026-01-22,1993,1995,1990,1993,40113
2026-01-23,1993,1994,1990,1991,15557
2026-01-26,1993,1997,1989,1997,26729
2026-01-27,1997,1998,1989,1996,25972
2026-01-28,1995,1999,1989,1994,56877
2026-01-29,1992,1995,1990,1991,22634
2026-01-30,1991,1996,1987,1996,32784
2026-02-02,1996,1996,1990,1996,65132
2026-02-03,1996,1999,1990,1999,31794
2026-02-04,1999,2000,1996,1999,31733
2026-02-05,1995,1999,1995,1995,21621
2026-02-06,1994,1999,1993,1999,14449
2026-02-09,1999,2005,1997,2005,78505
2026-02-10,2005,2005,2000,2005,60028
2026-02-11,2000,2020,2000,2010,55703
2026-02-12,2010,2020,2010,2015,49997
2026-02-13,2015,2030,2010,2030,60225
2026-02-19,2030,2050,2030,2040,26625
2026-02-20,2040,2045,2030,2045,25011
2026-02-23,2045,2050,2035,2045,18982
2026-02-24,2050,2050,2035,2040,6905
2026-02-25,2040,2050,2030,2045,37404
2026-02-26,2045,2045,2030,2040,9876
2026-02-27,2030,2045,2030,2045,11670
2026-03-03,2040,2040,2030,2030,9619
2026-03-04,2035,2035,2005,2005,32101
2026-03-05,2005,2020,2005,2020,21772
2026-03-06,2010,2035,2010,2030,26754
2026-03-09,2030,2030,2010,2020,33499
2026-03-10,2010,2025,2010,2020,11329
2026-03-11,2010,2020,2010,2020,7119
2026-03-12,2020,2025,2015,2025,6066
2026-03-13,2025,2025,2015,2020,3900
2026-03-16,2020,2025,2020,2020,2105
2026-03-17,2020,2020,2012,2015,4482
2026-03-18,2020,2020,2015,2015,3280
2026-03-19,2010,2015,2005,2015,4887
2026-03-20,2010,2015,2010,2015,3618
2026-03-23,2010,2015,2005,2005,7966
2026-03-24,2010,2015,1994,1998,31584
2026-03-25,2000,2010,2000,2005,9196
2026-03-26,2005,2010,2005,2010,1035
2026-03-27,2010,2010,2000,2010,21247
2026-03-30,2005,2010,2000,2010,2932
2026-03-31,2005,2015,2000,2010,6871
2026-04-01,2010,2010,2000,2010,3921
2026-04-02,2000,2010,2000,2000,6932
2026-04-03,2005,2007,2000,2005,18153
2026-04-06,2000,2010,2000,2010,12601
2026-04-07,2000,2010,2000,2010,25010
2026-04-08,2005,2005,2000,2005,33176
2026-04-09,2005,2010,2000,2010,1198
2026-04-10,2005,2010,2000,2010,28606
2026-04-13,2010,2010,2005,2010,4052
2026-04-14,2005,2010,2005,2010,2746
2026-04-15,2010,2010,2000,2010,59780
2026-04-16,2010,2010,2005,2010,3027
2026-04-17,2005,2010,2005,2010,1556
2026-04-20,2010,2015,2005,2010,3523
2026-04-21,2005,2015,2000,2010,1378
2026-04-22,2000,2015,2000,2010,3212
2026-04-23,2010,2015,2000,2010,3312
2026-04-24,2010,2010,2000,2010,25968
2026-04-27,2005,2010,2000,2010,11909
2026-04-28,2005,2005,1999,2005,22709
2026-04-29,2000,2005,1999,2000,1487
2026-04-30,2005,2005,1999,2005,3202
2026-05-04,2005,2005,2000,2005,3503
2026-05-06,2000,2005,1999,1999,7982
2026-05-07,1999,2005,1998,2000,1915
2026-05-08,2000,2000,1995,2000,2433
2026-05-11,2000,2005,1997,1997,5641
2026-05-12,1997,2000,1990,1999,4610
2026-05-13,1990,2005,1990,2005,10350
2026-05-14,2005,2005,1991,2005,1067
2026-05-15,1992,2005,1992,1999,1744
2026-05-18,1990,1999,1990,1999,2838
2026-05-19,2005,2005,1991,1996,9767
2026-05-20,1991,1999,1990,1996,6500
2026-05-21,1993,2005,1993,2005,2156
2026-05-22,2000,2005,1997,2005,2584
2026-05-26,2005,2005,1993,2000,4853
2026-05-27,1996,2000,1991,1995,5081
2026-05-28,1994,2005,1990,1995,1022
2026-05-29,1996,2000,1995,1998,23621
