Date,Open,High,Low,Close,Volume
2025-11-24,23250,30200,23250,30200,686460
2025-11-25,39250,39250,39250,39250,30460
2025-11-26,51000,51000,44300,51000,2755294
2025-11-27,49000,55700,48000,51300,3079820
2025-11-28,52500,66600,51500,66600,1503038
2025-12-01,76000,83500,67400,72300,4309637
2025-12-02,70600,75100,67000,72300,813629
2025-12-03,74000,76200,69000,70500,472871
2025-12-04,70000,70100,63100,63800,587957
2025-12-05,62900,67300,60800,64000,600034
2025-12-08,63100,64800,57700,58300,327058
2025-12-09,57900,62600,55300,59300,375408
2025-12-10,59800,63000,58300,62200,225006
2025-12-11,62700,68900,60400,65400,364723
2025-12-12,65900,74500,64400,70300,556691
2025-12-15,69400,74300,67300,74300,303565
2025-12-16,74200,75500,67600,69300,295115
2025-12-17,69000,73300,61300,62300,430230
2025-12-18,60700,64400,60000,60100,171323
2025-12-19,61900,66100,60500,64100,269089
2025-12-22,66600,66700,62300,63300,122208
2025-12-23,63300,63300,59800,60000,178217
2025-12-24,60500,60500,58200,58700,96129
2025-12-26,58700,59800,55100,59400,120775
2025-12-29,59400,59500,53800,54000,239692
2025-12-30,54200,54200,51200,52500,139317
2026-01-02,53300,53500,51100,52000,48482
2026-01-05,51100,52500,50000,52500,60965
2026-01-06,52600,52700,50400,50800,78553
2026-01-07,51600,51600,49450,50900,72751
2026-01-08,51700,52600,50200,52400,56072
2026-01-09,52300,53400,50500,52500,42332
2026-01-12,55600,57500,52900,55500,200041
2026-01-13,55800,56800,53400,55500,86974
2026-01-14,56200,65100,55000,62200,270803
2026-01-15,62100,63200,58200,59300,105260
2026-01-16,60500,64300,58700,62400,134170
2026-01-19,64700,74900,62800,71000,332947
2026-01-20,72600,91500,71300,89500,651129
2026-01-21,83400,84000,73600,75400,308781
2026-01-22,80500,96500,78500,92900,521588
2026-01-23,91700,100800,88200,94300,356945
2026-01-26,92000,98200,89200,91000,164780
2026-01-27,91800,113700,90700,108400,481095
2026-01-28,105200,112300,102800,107100,149714
2026-01-29,107000,108000,100500,103900,106385
2026-01-30,99500,100400,93500,95600,175793
2026-02-02,91000,95600,88400,89200,103005
2026-02-03,92900,106700,91600,102900,191671
2026-02-04,98800,102500,98700,100200,39706
2026-02-05,105600,106400,99600,100000,70970
2026-02-06,94100,98500,92500,93600,71368
2026-02-09,94800,100900,92200,96200,62902
2026-02-10,94500,100100,93700,97700,53089
2026-02-11,98500,117900,97500,114000,295535
2026-02-12,111400,125200,111000,112900,199431
2026-02-13,117000,117600,108900,108900,87231
2026-02-19,107700,108800,101200,105400,103711
2026-02-20,107700,109700,94100,95500,165792
2026-02-23,95900,107400,91600,103200,151677
2026-02-24,103100,111000,100600,102900,110259
2026-02-25,104500,108600,99300,102000,89115
2026-02-26,102100,102100,93900,99900,111335
2026-02-27,99000,101000,96500,97100,63221
2026-03-03,96000,104200,93600,94500,82186
2026-03-04,89700,91400,75200,76200,177308
2026-03-05,82900,89900,81500,87800,81120
2026-03-06,86000,92900,83800,92700,69011
2026-03-09,84200,89000,81500,85000,51568
2026-03-10,90200,92100,86700,88700,61693
2026-03-11,90500,94000,85500,86600,69683
2026-03-12,85000,91400,84500,90900,68092
2026-03-13,88200,94200,87600,92300,66482
2026-03-16,93100,93700,87200,90300,59316
2026-03-17,92200,92800,85200,85700,70615
2026-03-18,87300,94300,87300,92700,102683
2026-03-19,89500,91100,87500,87900,49267
2026-03-20,89100,101700,87600,101700,162485
2026-03-23,100200,109600,99200,102400,188819
2026-03-24,103500,113200,100600,109700,175585
2026-03-25,115700,123000,112100,119800,149340
2026-03-26,121900,150900,120100,138600,476253
2026-03-27,136600,144000,123700,142600,155820
2026-03-30,136500,148900,134000,142700,125985
2026-03-31,141900,144000,119500,120100,155266
2026-04-01,126000,126100,114300,118800,131915
2026-04-02,120200,120200,105600,108300,109208
2026-04-03,111500,111900,101600,106700,152507
2026-04-06,103600,103800,78100,80800,547751
2026-04-07,80000,82000,75100,77500,151657
2026-04-08,80400,81200,72300,77500,311288
2026-04-09,77500,78200,74700,75200,98710
2026-04-10,77200,77900,74000,75800,106682
2026-04-13,73600,75000,72600,74900,51142
2026-04-14,76400,76800,73600,74100,85956
2026-04-15,75400,81100,74800,80300,183327
2026-04-16,84000,88800,82100,87600,157130
2026-04-17,87100,87300,82100,83200,85292
2026-04-20,82300,83900,81400,82000,56032
2026-04-21,81600,82200,74400,79500,68332
2026-04-22,78400,80800,77700,78700,51816
2026-04-23,79600,81900,76700,81700,72231
2026-04-24,81800,81800,79400,79600,49440
2026-04-27,80200,82300,75500,80500,45518
2026-04-28,79200,79800,78100,78400,37843
2026-04-29,78400,79800,76400,77900,56073
2026-04-30,78100,78100,74800,75800,35375
2026-05-04,76000,77500,73200,73600,46147
2026-05-06,72200,73800,70600,72100,45354
2026-05-07,71800,75200,71000,73000,45847
2026-05-08,72900,75900,71200,72000,37793
2026-05-11,70800,70900,67500,69000,57827
2026-05-12,67900,72000,64800,68900,54635
2026-05-13,69200,71300,66300,68300,32433
2026-05-14,68100,70000,66900,68600,19242
