Date,Open,High,Low,Close,Volume
2025-04-09,870,880,864,871,218084
2025-04-10,853,895,853,882,163005
2025-04-11,880,882,858,870,88337
2025-04-14,870,870,860,870,82171
2025-04-15,870,893,856,893,107040
2025-04-16,894,894,882,885,80765
2025-04-17,884,885,866,879,70496
2025-04-18,879,900,870,890,218698
2025-04-21,898,901,876,877,104401
2025-04-22,877,899,862,864,167280
2025-04-23,865,884,856,870,204381
2025-04-24,870,877,855,869,130407
2025-04-25,869,876,825,870,115664
2025-04-28,859,872,854,859,78268
2025-04-29,853,859,849,852,135129
2025-04-30,852,852,825,837,171765
2025-05-02,825,836,825,835,45090
2025-05-07,835,844,831,835,42000
2025-05-08,825,840,821,840,60251
2025-05-09,840,848,835,847,55763
2025-05-12,847,852,841,851,93483
2025-05-13,851,861,847,857,95890
2025-05-14,860,865,853,865,114486
2025-05-15,858,870,858,866,55487
2025-05-16,866,866,857,864,81704
2025-05-19,862,864,836,838,178150
2025-05-20,838,846,825,828,118172
2025-05-21,828,862,823,830,80358
2025-05-22,841,849,826,832,42075
2025-05-23,845,845,820,822,47098
2025-05-26,822,833,817,828,76697
2025-05-27,828,838,820,834,43687
2025-05-28,820,834,820,824,70561
2025-05-29,839,839,824,828,29049
2025-05-30,832,833,816,819,212185
2025-06-02,828,858,821,844,231020
2025-06-04,844,848,828,841,97895
2025-06-05,841,844,835,843,61497
2025-06-09,847,861,843,855,104888
2025-06-10,858,867,846,862,44615
2025-06-11,862,870,857,870,137178
2025-06-12,870,880,865,874,62892
2025-06-13,874,877,858,875,93931
2025-06-16,874,874,867,870,69644
2025-06-17,870,881,870,873,50953
2025-06-18,873,877,866,867,47139
2025-06-19,876,876,851,851,78349
2025-06-20,861,863,848,857,64276
2025-06-23,846,857,837,843,73088
2025-06-24,863,868,843,844,87002
2025-06-25,844,851,834,837,171202
2025-06-26,837,853,834,848,53824
2025-06-27,850,850,838,838,37071
2025-06-30,838,849,832,844,79245
2025-07-01,844,860,844,852,86487
2025-07-02,844,857,844,857,65068
2025-07-03,862,879,849,875,117067
2025-07-04,875,875,855,856,52384
2025-07-07,856,868,852,857,59764
2025-07-08,857,873,851,862,25241
2025-07-09,869,870,856,861,54461
2025-07-10,872,872,859,861,28949
2025-07-11,866,867,863,864,63614
