Date,Open,High,Low,Close,Volume
2025-04-09,6300,6350,6230,6230,2469
2025-04-10,6320,6520,6240,6490,1214
2025-04-11,6500,6830,6330,6710,4870
2025-04-14,6740,6840,6660,6720,2074
2025-04-15,6720,6900,6650,6840,5654
2025-04-16,6810,6840,6700,6820,5298
2025-04-17,6830,6870,6750,6870,1710
2025-04-18,6920,6920,6690,6840,4844
2025-04-21,6800,6850,6680,6690,3329
2025-04-22,6710,6800,6710,6790,555
2025-04-23,6800,6950,6790,6860,654
2025-04-24,6840,6960,6810,6810,1142
2025-04-25,6820,7100,6810,6960,5763
2025-04-28,6980,7060,6870,6870,3591
2025-04-29,6880,7360,6810,7010,11885
2025-04-30,7110,7360,6990,7020,6722
2025-05-02,7030,7390,7000,7040,7503
2025-05-07,7220,7220,7020,7190,4614
2025-05-08,7090,7350,7090,7120,2554
2025-05-09,7130,7350,7010,7060,3060
2025-05-12,7060,7300,6960,7090,4227
2025-05-13,7080,7340,7020,7020,7667
2025-05-14,7030,7230,6700,6940,5007
2025-05-15,6930,6970,6890,6900,1145
2025-05-16,6910,6970,6880,6960,238
2025-05-19,7050,7130,6920,7090,716
2025-05-20,7080,7200,6970,6980,1370
2025-05-21,6990,7300,6970,6980,4146
2025-05-22,6990,7160,6940,7080,905
2025-05-23,7090,7250,6960,6960,4345
2025-05-26,7000,7300,7000,7190,4071
2025-05-27,7210,7310,7110,7200,3797
2025-05-28,7250,7320,7130,7300,5133
2025-05-29,7330,7500,7220,7490,6792
2025-05-30,7520,7730,7350,7520,4130
2025-06-02,7530,7690,7330,7420,5535
2025-06-04,7640,7770,7430,7580,5379
2025-06-05,7670,7670,7430,7490,5178
2025-06-09,7740,8090,7530,7960,16852
2025-06-10,7970,8480,7720,7950,14756
2025-06-11,7940,8260,7790,8160,6871
2025-06-12,8220,8260,8020,8080,7115
2025-06-13,8090,8210,7650,7720,8207
2025-06-16,7720,7900,7670,7880,1477
2025-06-17,7900,8050,7870,7870,4333
2025-06-18,7810,7890,7700,7840,2039
2025-06-19,7880,7940,7870,7890,1023
2025-06-20,7890,7910,7820,7880,826
2025-06-23,7890,8000,7670,7780,7898
2025-06-24,7780,8260,7780,7930,4894
2025-06-25,7920,8030,7870,7990,2755
2025-06-26,8000,8100,7800,7950,3620
2025-06-27,7960,7960,7810,7890,2255
2025-06-30,7890,7890,7830,7840,388
2025-07-01,7850,8000,7850,7880,2108
2025-07-02,7880,8000,7720,7880,2479
2025-07-03,7880,8000,7860,7860,2042
2025-07-04,7840,7850,7750,7790,2444
2025-07-07,7780,7800,7680,7800,1757
2025-07-08,7790,7830,7690,7790,2202
2025-07-09,7800,8180,7790,8180,9322
2025-07-10,8170,8220,7960,8170,6513
2025-07-11,8190,8310,8090,8240,1422
2025-07-14,8220,8310,8130,8310,1442
2025-07-15,8190,8420,8170,8290,2683
2025-07-16,8300,8320,8110,8170,3064
2025-07-17,8180,8270,8000,8240,7371
2025-07-18,8370,8370,8140,8250,2330
2025-07-21,8240,8260,8180,8200,521
2025-07-22,8190,8240,8180,8230,2481
2025-07-23,8220,8230,8050,8080,2060
2025-07-24,8090,8160,8030,8150,676
2025-07-25,8150,8150,7970,7990,3587
2025-07-28,7990,7990,7670,7760,3055
2025-07-29,7670,7770,7570,7710,2886
2025-07-30,7710,7720,7640,7640,752
2025-07-31,7690,7700,7570,7660,2076
2025-08-01,7650,7650,7490,7560,1093
2025-08-04,7560,7570,7490,7560,414
2025-08-05,7550,7900,7510,7660,2733
2025-08-06,7650,7670,7520,7660,2159
2025-08-07,7500,7700,7500,7650,1996
2025-08-08,7620,7650,7580,7630,1012
2025-08-11,7670,8000,7670,7830,484
2025-08-12,7820,7940,7600,7850,3708
2025-08-13,7840,7950,7620,7920,6288
2025-08-14,7910,7920,7810,7920,1664
2025-08-18,7910,7910,7710,7730,3100
2025-08-19,7720,7730,7650,7650,723
2025-08-20,7640,7660,7450,7600,2072
2025-08-21,7620,7630,7550,7550,584
2025-08-22,7570,7580,7440,7580,2211
2025-08-25,7590,7700,7580,7700,1941
2025-08-26,7680,7800,7650,7760,1791
2025-08-27,7800,7890,7760,7780,958
2025-08-28,7770,7890,7720,7850,742
2025-08-29,7890,7890,7700,7700,2126
2025-09-01,7700,7750,7620,7660,2425
2025-09-02,7650,7890,7630,7780,1661
2025-09-03,7790,7890,7670,7670,2583
2025-09-04,7680,7870,7670,7700,470
2025-09-05,7860,7870,7630,7840,3229
2025-09-08,7880,7890,7700,7770,925
2025-09-09,7750,7880,7630,7840,786
2025-09-10,7890,7970,7690,7880,3059
2025-09-11,7880,7910,7730,7730,769
2025-09-12,7890,7890,7700,7810,1941
2025-09-15,7730,7780,7630,7750,2400
2025-09-16,7780,7780,7660,7710,1014
2025-09-17,7700,7780,7620,7770,649
2025-09-18,7760,7890,7760,7790,2836
2025-09-19,7790,7970,7790,7800,2617
2025-09-22,7800,8010,7800,7850,5570
2025-09-23,7860,7950,7760,7840,503
2025-09-24,7930,7930,7750,7750,1721
2025-09-25,7700,8070,7700,8040,5699
2025-09-26,8000,8100,7800,7880,4254
2025-09-29,7870,7990,7750,7820,3338
2025-09-30,7720,7940,7720,7860,1097
2025-10-01,7850,8070,7760,7820,1595
2025-10-02,7850,8000,7730,7810,1686
2025-10-10,7800,7810,7600,7630,4620
2025-10-13,7490,7500,7410,7450,1015
2025-10-14,7580,7580,7320,7350,3320
2025-10-15,7410,7540,7320,7500,963
2025-10-16,7490,7660,7400,7560,1538
2025-10-17,7500,7560,7370,7560,2549
2025-10-20,7550,7720,7430,7680,1614
2025-10-21,7670,7690,7450,7450,826
2025-10-22,7460,7630,7400,7500,1234
2025-10-23,7490,7660,7430,7590,3467
2025-10-24,7580,7710,7460,7600,783
2025-10-27,7600,7770,7450,7580,1775
2025-10-28,7570,7590,7370,7580,2146
2025-10-29,7650,7800,7340,7430,2046
2025-10-30,7450,7470,7210,7220,4361
