Date,Open,High,Low,Close,Volume
2025-04-09,4020,4020,3865,3905,55896
2025-04-10,3945,4050,3940,4020,47236
2025-04-11,4010,4055,3940,4040,88952
2025-04-14,4055,4140,4040,4050,50551
2025-04-15,4055,4165,4030,4120,61327
2025-04-16,4120,4155,4025,4080,56594
2025-04-17,4075,4135,4055,4130,32752
2025-04-18,4130,4165,4085,4155,50509
2025-04-21,4150,4280,4130,4165,126894
2025-04-22,4120,4190,4110,4155,41401
2025-04-23,4170,4250,4155,4170,39860
2025-04-24,4170,4210,4105,4125,32597
2025-04-25,4130,4170,4100,4145,22886
2025-04-28,4140,4205,4125,4135,56948
2025-04-29,4125,4175,4110,4170,44195
2025-04-30,4170,4185,4120,4130,30418
2025-05-02,4140,4140,4075,4090,24979
2025-05-07,4090,4150,4050,4145,40393
2025-05-08,4120,4185,4120,4155,36755
2025-05-09,4155,4995,4115,4380,6362668
2025-05-12,4380,4630,4335,4400,1239017
2025-05-13,4400,4455,4310,4340,220970
2025-05-14,4410,4485,4370,4420,288662
2025-05-15,4420,4420,4350,4405,119533
2025-05-16,4395,4405,4315,4360,148550
2025-05-19,4350,4370,4270,4320,90445
2025-05-20,4320,4435,4315,4435,102550
2025-05-21,4435,4465,4370,4425,98980
2025-05-22,4730,4730,4335,4350,1498092
2025-05-23,4370,5030,4335,4645,4085534
2025-05-26,4545,4635,4435,4545,1035151
2025-05-27,4545,4750,4425,4450,909821
2025-05-28,4450,4550,4420,4500,188340
2025-05-29,4435,4515,4425,4480,113380
2025-05-30,4460,4470,4410,4465,80907
2025-06-02,4470,4510,4410,4470,75267
2025-06-04,4510,4590,4455,4575,116260
2025-06-05,4550,4765,4520,4630,563986
2025-06-09,4915,4990,4760,4850,1558873
2025-06-10,4940,4940,4675,4715,392915
2025-06-11,4800,5000,4695,4835,735148
2025-06-12,4835,4900,4760,4760,247700
2025-06-13,4810,4820,4620,4655,253392
2025-06-16,4710,4930,4640,4900,439973
2025-06-17,4920,4925,4645,4725,290347
2025-06-18,4790,4885,4710,4860,188667
2025-06-19,4980,5290,4875,5040,1340799
2025-06-20,5100,5110,4850,4915,240119
2025-06-23,4915,5830,4800,5170,6340409
2025-06-24,5270,5620,4920,5170,3218314
2025-06-25,5120,5160,4935,4990,374542
2025-06-26,4925,4975,4745,4790,282254
2025-06-27,4830,4840,4620,4735,186551
2025-06-30,4660,4690,4485,4570,231293
2025-07-01,4590,4730,4570,4715,84138
2025-07-02,4800,4800,4555,4695,114263
2025-07-03,4695,4775,4690,4725,62329
2025-07-04,4710,4770,4670,4710,48894
2025-07-07,4730,4865,4680,4830,108300
2025-07-08,4830,4880,4765,4860,105315
2025-07-09,4860,4975,4810,4965,132018
2025-07-10,4965,5460,4905,5060,2296341
2025-07-11,5000,5140,4965,5000,304815
2025-07-14,5000,5090,4900,4975,187022
2025-07-15,4920,4965,4875,4905,123420
2025-07-16,4900,5090,4790,4880,210841
2025-07-17,4910,4950,4815,4830,87992
2025-07-18,4885,4885,4785,4850,60348
2025-07-21,4850,4875,4800,4835,52199
2025-07-22,4835,4835,4680,4695,111362
2025-07-23,4695,4760,4585,4610,48954
2025-07-24,4610,4620,4510,4510,57605
2025-07-25,4500,4640,4490,4570,85839
2025-07-28,4575,4650,4430,4470,75349
2025-07-29,4500,4500,4385,4425,44056
2025-07-30,4440,4540,4420,4455,21896
2025-07-31,4500,4500,4415,4500,24890
2025-08-01,4500,4500,4255,4295,56865
2025-08-04,4335,4450,4290,4440,32495
2025-08-05,4440,4475,4390,4415,17191
2025-08-06,4425,4465,4380,4435,17420
2025-08-07,4435,4490,4405,4455,33128
2025-08-08,4455,4500,4430,4440,20613
2025-08-11,4450,4455,4405,4435,32143
2025-08-12,4435,4505,4425,4440,41564
2025-08-13,4460,4520,4410,4500,19284
2025-08-14,4500,4550,4470,4490,19732
2025-08-18,4490,4495,4300,4385,56843
2025-08-19,4405,4450,4300,4385,44299
2025-08-20,4375,4390,4210,4345,35593
2025-08-21,4355,4405,4345,4400,14935
2025-08-22,4400,5040,4355,4415,2433001
2025-08-25,4425,4615,4420,4495,247988
2025-08-26,4495,4560,4420,4535,93157
2025-08-27,4585,4585,4475,4500,53497
2025-08-28,4440,4695,4440,4570,241894
2025-08-29,4595,4620,4545,4600,57983
2025-09-01,4570,4700,4450,4535,68435
2025-09-02,4475,4600,4475,4575,44357
2025-09-03,4600,4600,4485,4520,38089
2025-09-04,4495,4585,4480,4540,15427
2025-09-05,4560,4560,4490,4500,34123
2025-09-08,4500,4665,4480,4525,88224
2025-09-09,4530,4595,4490,4580,28711
2025-09-10,4580,4670,4580,4660,73162
2025-09-11,4640,4645,4565,4605,57628
2025-09-12,4620,4620,4535,4590,35437
2025-09-15,4590,4590,4515,4545,46183
2025-09-16,4560,4590,4475,4500,39806
2025-09-17,4500,4510,4460,4475,24936
2025-09-18,4500,4540,4495,4540,20756
2025-09-19,4540,4580,4525,4565,21879
2025-09-22,4585,4585,4505,4545,41259
2025-09-23,4530,4530,4445,4455,41540
2025-09-24,4455,4480,4340,4450,56175
2025-09-25,4445,4475,4395,4420,13938
2025-09-26,4410,4425,4320,4340,46671
2025-09-29,4305,4445,4305,4410,21558
2025-09-30,4410,4425,4365,4400,28417
2025-10-01,4400,4420,4350,4360,15406
2025-10-02,4360,4390,4305,4330,36567
2025-10-10,4330,4365,4280,4325,56007
2025-10-13,4240,4315,4220,4260,26785
2025-10-14,4265,4300,4210,4255,16983
2025-10-15,4255,4355,4255,4320,24014
2025-10-16,4295,4390,4245,4270,25116
2025-10-17,4270,4270,4175,4185,52602
2025-10-20,4200,4235,4155,4215,19910
2025-10-21,4220,4235,4180,4205,22439
2025-10-22,4200,4210,4145,4205,26573
2025-10-23,4210,4235,4150,4205,22969
2025-10-24,4245,4245,4115,4125,41762
2025-10-27,4125,4145,4110,4140,33011
2025-10-28,4195,4195,4130,4150,26136
2025-10-29,4150,4155,4075,4115,32811
2025-10-30,4095,4115,4000,4015,66432
2025-10-31,4095,4095,3965,4020,22260
2025-11-03,4060,4060,3910,3980,46270
2025-11-04,3980,4005,3920,3940,26005
2025-11-05,3925,3930,3785,3885,59702
2025-11-06,3850,3925,3830,3870,23217
2025-11-07,3875,3885,3780,3805,96374
2025-11-10,3815,4010,3805,3980,21433
2025-11-11,3955,4000,3900,3930,15387
2025-11-12,3930,4010,3915,3990,14048
2025-11-13,3990,4025,3960,4015,30212
2025-11-14,3975,4050,3935,3990,21189
2025-11-17,3990,3990,3915,3970,20801
2025-11-18,3940,3955,3835,3895,37220
2025-11-19,3860,3885,3765,3875,24149
2025-11-20,3885,3965,3875,3905,21234
2025-11-21,3900,3920,3860,3910,10571
2025-11-24,3900,3965,3860,3905,23523
2025-11-25,3895,3960,3850,3870,20409
2025-11-26,3880,3945,3845,3910,16097
2025-11-27,3875,3970,3860,3910,16399
2025-11-28,3910,3975,3835,3950,22464
2025-12-01,4070,4070,3910,3930,20833
2025-12-02,3930,3960,3880,3960,24817
2025-12-03,3960,4005,3960,3970,21050
2025-12-04,3975,4010,3915,3980,37415
2025-12-05,3980,4015,3945,4010,25637
2025-12-08,4035,4040,4005,4030,26169
2025-12-09,4030,4035,3965,4030,42077
2025-12-10,4030,4050,3980,4030,31683
2025-12-11,4030,4045,3990,4020,20634
2025-12-12,4020,4040,4005,4025,13016
2025-12-15,4025,4045,4005,4030,24569
2025-12-16,4030,4035,3980,4015,26350
2025-12-17,4015,4030,3975,4025,14830
2025-12-18,3980,4025,3980,4010,13254
2025-12-19,4010,4025,3970,4010,16262
2025-12-22,4015,4035,4010,4030,20255
2025-12-23,4025,4035,3985,4025,15727
2025-12-24,4030,4030,3995,4000,18043
2025-12-26,4000,4040,3980,3985,74567
2025-12-29,3960,3960,3825,3905,58828
2025-12-30,3900,3900,3850,3890,24140
2026-01-02,3880,4050,3790,3800,111706
2026-01-05,3820,3820,3765,3765,32654
2026-01-06,3760,3780,3745,3765,21174
2026-01-07,3765,3770,3670,3700,52522
2026-01-08,3700,3700,3640,3655,26909
2026-01-09,3640,3695,3630,3675,25703
2026-01-12,3675,3685,3640,3640,25096
2026-01-13,3650,3675,3620,3640,20255
2026-01-14,3625,3655,3620,3635,14657
2026-01-15,3640,3640,3595,3620,25329
2026-01-16,3620,3620,3550,3555,61564
2026-01-19,3555,3575,3535,3545,21895
2026-01-20,3525,3720,3525,3655,41485
2026-01-21,3655,3655,3540,3615,28361
2026-01-22,3625,3650,3560,3610,25470
2026-01-23,3610,3940,3600,3725,114386
2026-01-26,3730,3840,3730,3775,84731
2026-01-27,3775,3805,3687,3775,28128
2026-01-28,3770,3815,3700,3730,79282
2026-01-29,3725,3765,3680,3755,39488
2026-01-30,3755,3755,3660,3675,56041
2026-02-02,3670,3670,3535,3535,72673
2026-02-03,3545,3630,3545,3610,19030
2026-02-04,3605,3695,3600,3675,41092
2026-02-05,3680,3710,3635,3655,25057
2026-02-06,3655,3655,3500,3630,31999
2026-02-09,3670,3670,3630,3640,50464
2026-02-10,3650,3675,3610,3660,21263
2026-02-11,3660,3675,3640,3660,19373
2026-02-12,3660,3710,3640,3700,39302
2026-02-13,3670,3695,3610,3665,21073
2026-02-19,3665,3720,3660,3695,27364
2026-02-20,3670,3720,3640,3655,37110
2026-02-23,3655,3682,3645,3680,32296
2026-02-24,3715,3715,3650,3660,33812
2026-02-25,3675,3675,3635,3640,50371
2026-02-26,3640,3705,3595,3605,102569
2026-02-27,3575,3595,3555,3565,43532
2026-03-03,3520,3550,3420,3430,103879
2026-03-04,3420,3420,3055,3070,128755
2026-03-05,3190,3320,3190,3255,36028
2026-03-06,3195,3305,3100,3275,31808
2026-03-09,3240,3240,3145,3200,24576
2026-03-10,3230,3265,3195,3240,21857
2026-03-11,3250,3295,3240,3290,22265
2026-03-12,3290,3300,3275,3290,18963
2026-03-13,3265,3425,3255,3420,39023
2026-03-16,3420,3420,3340,3365,17739
2026-03-17,3365,3395,3320,3385,23827
2026-03-18,3395,3440,3375,3395,28061
2026-03-19,3395,4130,3350,3695,4011447
2026-03-20,3670,3670,3550,3550,282599
2026-03-23,3550,4195,3455,3455,5004864
2026-03-24,3495,4140,3495,3595,3061325
2026-03-25,3590,3855,3545,3685,824780
2026-03-26,3685,3835,3590,3625,458985
2026-03-27,3585,3740,3550,3685,273068
2026-03-30,3605,3820,3550,3740,268034
2026-03-31,3740,3810,3605,3660,300944
2026-04-01,3685,3745,3655,3715,98556
2026-04-02,3715,3745,3530,3545,131458
2026-04-03,3580,3750,3580,3735,123846
2026-04-06,3735,3840,3695,3750,220634
2026-04-07,3750,3765,3645,3665,88567
2026-04-08,3690,3780,3690,3765,99005
2026-04-09,3765,3775,3695,3725,42746
2026-04-10,3730,3870,3685,3805,227961
2026-04-13,3735,3870,3700,3840,107181
2026-04-14,3875,3970,3850,3940,206428
2026-04-15,4010,4135,3880,3935,518887
2026-04-16,4030,4750,3980,4245,4822090
2026-04-17,4245,4250,4040,4055,454415
2026-04-20,4055,4720,4005,4380,2655495
2026-04-21,4420,4595,4220,4220,1311985
2026-04-22,4235,4340,4015,4110,303066
2026-04-23,4115,4190,4005,4070,176057
2026-04-24,4115,4130,3995,4050,143143
2026-04-27,4055,4140,4030,4075,90471
2026-04-28,4080,4095,4000,4035,80886
2026-04-29,4075,4145,4000,4145,95677
2026-04-30,4150,4160,4035,4075,86555
2026-05-04,4075,4115,4030,4040,91815
2026-05-06,4040,4065,3920,3985,170062
2026-05-07,3950,3980,3890,3970,110283
2026-05-08,3970,3970,3780,3940,87697
2026-05-11,3940,3950,3820,3830,56460
2026-05-12,3895,3895,3690,3720,74057
2026-05-13,3795,3795,3675,3700,32697
2026-05-14,3690,3860,3660,3695,77967
2026-05-15,3680,3695,3535,3560,116348
2026-05-18,3575,3575,3415,3505,90699
2026-05-19,3570,3570,3440,3515,29716
2026-05-20,3590,3590,3400,3410,39717
2026-05-21,3490,3515,3405,3420,44565
2026-05-22,3495,3550,3475,3515,29942
2026-05-26,3505,3535,3400,3400,47487
2026-05-27,3400,3410,3270,3350,41661
2026-05-28,3325,3360,3250,3320,30570
