Date,Open,High,Low,Close,Volume
2025-04-09,1978,1998,1701,1704,529412
2025-04-10,1770,1775,1715,1759,179722
2025-04-11,1715,1770,1713,1766,59098
2025-04-14,1780,2090,1779,1857,1965100
2025-04-15,1838,1880,1779,1817,256383
2025-04-16,1830,1878,1788,1804,166867
2025-04-17,1804,1810,1760,1803,86077
2025-04-18,1803,1803,1760,1800,54271
2025-04-21,1800,1805,1765,1768,30475
2025-04-22,1760,1768,1721,1738,86404
2025-04-23,1743,1760,1732,1750,114064
2025-04-24,1746,1769,1715,1743,102381
2025-04-25,1743,1820,1738,1800,61480
2025-04-28,1924,1935,1837,1845,374702
2025-04-29,1847,1891,1820,1838,136518
2025-04-30,1838,1855,1815,1816,44883
2025-05-02,1810,1818,1786,1796,54038
2025-05-07,1791,1818,1785,1805,37551
2025-05-08,1804,1818,1796,1814,12675
2025-05-09,1814,1814,1776,1780,27393
2025-05-12,1804,1999,1803,1843,851699
2025-05-13,1842,1853,1805,1828,74493
2025-05-14,1832,1832,1806,1820,29477
2025-05-15,1822,1828,1781,1798,44983
2025-05-16,1797,1812,1740,1746,51825
2025-05-19,1747,1747,1711,1716,34506
2025-05-20,1718,1726,1699,1717,23737
2025-05-21,1717,1717,1696,1708,22364
2025-05-22,1691,1701,1662,1665,54021
2025-05-23,1665,1666,1643,1659,20473
2025-05-26,1650,1685,1616,1643,59384
2025-05-27,1635,1641,1619,1622,26222
2025-05-28,1634,1685,1634,1673,65627
2025-05-29,1676,1690,1655,1687,29839
2025-05-30,1690,1721,1689,1716,70512
2025-06-02,1830,2125,1754,1759,4211562
2025-06-04,1760,1761,1703,1711,254608
2025-06-05,1713,1729,1701,1702,129636
2025-06-09,1691,1701,1670,1674,190673
2025-06-10,1682,1683,1658,1658,134047
2025-06-11,1668,1674,1661,1664,60635
2025-06-12,1670,1701,1663,1678,69006
2025-06-13,1687,1700,1635,1639,143061
2025-06-16,1639,1639,1605,1618,81331
2025-06-17,1622,1642,1611,1629,56945
2025-06-18,1628,1640,1617,1633,37849
2025-06-19,1638,1639,1619,1626,56372
2025-06-20,1622,1678,1620,1656,77048
2025-06-23,1638,1638,1609,1631,68846
2025-06-24,1650,1683,1650,1670,62789
2025-06-25,1680,1685,1671,1682,44059
2025-06-26,1688,1698,1670,1695,74355
2025-06-27,1697,1699,1682,1698,46466
2025-06-30,1686,1707,1686,1706,27127
2025-07-01,1706,1718,1703,1707,39297
2025-07-02,1708,1720,1684,1700,75896
2025-07-03,1708,1741,1696,1735,81655
2025-07-04,1703,1732,1703,1714,49716
2025-07-07,1717,1748,1717,1740,51158
2025-07-08,1735,1746,1711,1746,61840
2025-07-09,1746,1785,1740,1782,106278
2025-07-10,1790,1800,1771,1798,75677
2025-07-11,1798,1905,1798,1886,221033
2025-07-14,1886,1911,1840,1887,190147
2025-07-15,1878,1916,1855,1909,70881
2025-07-16,1909,1915,1861,1915,56854
2025-07-17,1915,1924,1876,1890,77796
2025-07-18,1890,1896,1823,1862,149865
2025-07-21,1862,1920,1859,1919,101989
2025-07-22,1901,1927,1880,1907,68356
2025-07-23,1910,1938,1886,1923,75577
2025-07-24,1929,1929,1860,1871,126441
2025-07-25,1871,1886,1822,1860,40433
2025-07-28,1859,1859,1839,1859,50908
2025-07-29,1851,1901,1840,1889,54434
2025-07-30,1888,1909,1878,1908,51289
2025-07-31,1911,1920,1866,1891,15931
2025-08-01,1881,1881,1787,1797,49914
2025-08-04,1795,1818,1795,1801,5120
2025-08-05,1813,1860,1813,1858,34152
2025-08-06,1817,1899,1817,1889,41506
2025-08-07,1889,1898,1854,1870,10270
2025-08-08,1888,1888,1855,1877,11789
2025-08-11,1873,1953,1873,1940,121978
2025-08-12,1930,1976,1930,1950,50026
2025-08-13,1950,1964,1932,1957,28173
2025-08-14,1939,1970,1937,1962,34607
2025-08-18,1966,1966,1910,1914,31366
2025-08-19,1901,1918,1896,1909,12836
2025-08-20,1898,1898,1841,1855,25948
2025-08-21,1855,1868,1850,1862,7456
2025-08-22,1855,1868,1855,1855,6013
2025-08-25,1868,1871,1855,1865,5640
2025-08-26,1863,1867,1852,1856,4924
2025-08-27,1865,1865,1848,1852,8562
2025-08-28,1849,1863,1845,1847,3526
2025-08-29,1845,1859,1628,1640,237415
2025-09-01,1606,1620,1580,1593,38492
2025-09-02,1590,1613,1590,1611,16831
2025-09-03,1623,1635,1622,1630,17783
2025-09-04,1640,1820,1640,1704,220812
2025-09-05,1705,1732,1675,1726,28464
2025-09-08,1727,1750,1703,1748,14975
2025-09-09,1747,1798,1720,1797,45016
2025-09-10,1796,1846,1781,1846,32276
2025-09-11,1848,1855,1812,1854,26613
2025-09-12,1854,1859,1824,1854,21576
2025-09-15,1856,1857,1816,1856,30611
2025-09-16,1855,1864,1800,1861,75106
2025-09-17,1840,1864,1816,1862,30665
2025-09-18,1852,1869,1845,1867,14167
2025-09-19,1867,1867,1800,1850,25579
2025-09-22,1841,1841,1802,1837,55088
2025-09-23,1826,1841,1797,1816,17656
2025-09-24,1829,1829,1788,1813,16323
2025-09-25,1801,1822,1784,1818,18037
2025-09-26,1806,1814,1793,1806,15391
2025-09-29,1805,1817,1777,1806,21725
2025-09-30,1800,1810,1786,1808,10827
2025-10-01,1808,1814,1786,1810,34614
2025-10-02,1810,1818,1743,1818,28467
2025-10-10,1799,1817,1750,1775,41009
2025-10-13,1755,1775,1740,1774,14727
2025-10-14,1776,1776,1742,1767,31308
2025-10-15,1762,1771,1730,1771,19488
2025-10-16,1775,1815,1755,1810,85187
2025-10-17,1810,1837,1791,1830,79840
2025-10-20,1820,1829,1780,1822,38460
2025-10-21,1822,1888,1812,1848,116963
2025-10-22,1870,1881,1815,1870,51497
2025-10-23,1870,1887,1835,1875,25990
2025-10-24,1875,1920,1868,1920,77791
2025-10-27,1931,1940,1914,1927,65299
2025-10-28,1926,1926,1866,1921,69057
2025-10-29,1934,1978,1900,1944,71113
2025-10-30,1930,1933,1874,1906,71221
2025-10-31,1920,1925,1902,1925,15081
2025-11-03,1925,1943,1888,1930,109019
2025-11-04,1935,1974,1935,1970,75948
2025-11-05,1970,1970,1843,1897,71516
2025-11-06,1901,1921,1889,1914,49620
2025-11-07,1900,1902,1820,1857,63489
2025-11-10,1887,2060,1867,2000,192946
2025-11-11,2000,2015,1912,1995,49875
2025-11-12,2180,2590,2040,2590,1378127
2025-11-13,2350,2905,2255,2415,4610296
2025-11-14,2395,2395,2200,2250,548847
2025-11-17,2250,2295,2090,2220,187319
2025-11-18,2270,2325,2050,2100,240367
2025-11-19,2080,2120,2005,2085,115387
2025-11-20,2150,2360,2100,2155,431503
2025-11-21,2075,2075,1988,2025,118390
2025-11-24,2055,2110,2005,2030,66096
2025-11-25,2050,2070,1995,2040,55055
2025-11-26,2230,2650,2115,2115,3068426
2025-11-27,2105,2115,2055,2095,180199
2025-11-28,2125,2155,2095,2140,93842
2025-12-01,2145,2175,2130,2165,65353
2025-12-02,2170,2170,2120,2165,54368
2025-12-03,2170,2170,2090,2105,66714
2025-12-04,2125,2145,2070,2140,44949
2025-12-05,2110,2145,2080,2140,47337
2025-12-08,2110,2150,2095,2145,56006
2025-12-09,2145,2165,2115,2150,16821
2025-12-10,2150,2150,2100,2135,38306
2025-12-11,2140,2140,2085,2135,52422
2025-12-12,2135,2135,2090,2125,17441
2025-12-15,2085,2095,2035,2065,18055
2025-12-16,2065,2065,1996,1996,29208
2025-12-17,1999,2015,1994,2005,12429
2025-12-18,1991,2010,1970,1998,19133
2025-12-19,1991,1997,1950,1980,49724
2025-12-22,1995,1999,1978,1991,19324
2025-12-23,1980,1996,1972,1994,24040
2025-12-24,2000,2000,1980,2000,10259
2025-12-26,1998,2005,1993,2005,17520
2025-12-29,2000,2070,1983,2070,31854
2025-12-30,2060,2065,1979,1990,24057
2026-01-02,1991,1998,1878,1971,46095
2026-01-05,1969,1990,1945,1968,11684
2026-01-06,1974,2045,1964,2000,101131
2026-01-07,2005,2025,1976,1996,50043
2026-01-08,1995,1997,1974,1993,14382
2026-01-09,1993,2025,1970,2020,13620
2026-01-12,1980,2030,1980,2020,16915
2026-01-13,2005,2020,1985,2020,20095
2026-01-14,2015,2015,1981,1998,18947
2026-01-15,1978,2050,1978,2050,18274
2026-01-16,2040,2095,1996,2090,28198
2026-01-19,2090,2095,2040,2090,27223
2026-01-20,1989,2145,1989,2130,39276
2026-01-21,2140,2140,2010,2140,35965
2026-01-22,2130,2165,2090,2160,42991
2026-01-23,2180,2180,2115,2160,22700
2026-01-26,2120,2165,2120,2165,22396
2026-01-27,2115,2165,2105,2165,16925
2026-01-28,2120,2180,2120,2180,30127
2026-01-29,2180,2220,2100,2190,51218
2026-01-30,2190,2190,2120,2145,58312
2026-02-02,2145,2145,2035,2050,33234
2026-02-03,2050,2090,2040,2075,29376
2026-02-04,2075,2100,2050,2100,11625
2026-02-05,2100,2150,2000,2045,60106
2026-02-06,1995,2015,1970,2010,15335
2026-02-09,2290,2350,2080,2105,396884
2026-02-10,2115,2145,2080,2115,39275
2026-02-11,2135,2190,2110,2185,33223
2026-02-12,2190,2200,2145,2185,23917
2026-02-13,2150,2175,2110,2145,22895
2026-02-19,2160,2265,2145,2240,106860
2026-02-20,2230,2235,2160,2210,37290
2026-02-23,2195,2195,2130,2145,37580
2026-02-24,2125,2175,2110,2140,16648
2026-02-25,2140,2145,2110,2140,14423
2026-02-26,2150,2150,2100,2140,29876
2026-02-27,2125,2145,2090,2145,106730
2026-03-03,2130,2130,2000,2015,61774
2026-03-04,2030,2030,1825,1894,37787
2026-03-05,1862,1990,1862,1989,28672
2026-03-06,1989,2025,1965,2000,16573
2026-03-09,1965,1994,1899,1913,13023
2026-03-10,1914,1983,1914,1976,14610
2026-03-11,1984,2035,1976,2010,21411
2026-03-12,2010,2075,1981,2075,21360
2026-03-13,2040,2040,1994,2030,13405
2026-03-16,2030,2030,1988,2010,3732
2026-03-17,2020,2030,1995,2020,13630
2026-03-18,2030,2030,1997,2015,2996
2026-03-19,2015,2015,1984,1999,4361
2026-03-20,1975,2060,1975,2030,37769
2026-03-23,2060,2065,2005,2030,15781
2026-03-24,2030,2065,2000,2025,16855
2026-03-25,2035,2225,2025,2075,234081
2026-03-26,2090,2100,1997,2005,87611
2026-03-27,2005,2015,1964,1991,17837
2026-03-30,1994,1999,1970,1994,27469
2026-03-31,2000,2010,1935,1984,18186
2026-04-01,1989,2040,1989,2010,38276
2026-04-02,2040,2070,1997,2040,79030
2026-04-03,2045,2095,2020,2090,46313
2026-04-06,2110,2110,2025,2075,13386
2026-04-07,2095,2125,2055,2090,14677
2026-04-08,2115,2155,2060,2100,26674
2026-04-09,2085,2100,2055,2060,5512
2026-04-10,2080,2110,2055,2100,20914
2026-04-13,2100,2110,2070,2105,15236
2026-04-14,2105,2110,2060,2060,13356
2026-04-15,2060,2125,2055,2120,48692
2026-04-16,2145,2145,2105,2145,23931
2026-04-17,2145,2205,2105,2200,38334
2026-04-20,2230,2235,2180,2180,26393
2026-04-21,2200,2765,2200,2465,1644398
2026-04-22,2545,2560,2295,2465,275006
2026-04-23,2695,3065,2530,2655,1116952
2026-04-24,2705,2705,2525,2700,131979
2026-04-27,2710,2750,2625,2705,51245
2026-04-28,2715,2840,2670,2800,71604
2026-04-29,2810,2815,2755,2790,50802
2026-04-30,2780,2780,2525,2600,77915
2026-05-04,2610,2700,2600,2655,55315
2026-05-06,2655,2695,2595,2630,31338
2026-05-07,2665,2665,2595,2600,25722
2026-05-08,2590,2595,2380,2475,48267
2026-05-11,2455,2520,2375,2380,34975
2026-05-12,2370,2375,2075,2150,179221
2026-05-13,2125,2160,2090,2140,35099
2026-05-14,2200,2290,2165,2220,27383
2026-05-15,2220,2240,2090,2170,17985
2026-05-18,2155,2175,2040,2160,22287
2026-05-19,2160,2160,2065,2135,6741
2026-05-20,2090,2090,2025,2040,14114
2026-05-21,2100,2130,2080,2130,15025
2026-05-22,2210,2250,2150,2245,19007
2026-05-26,2245,2245,2130,2150,45086
2026-05-27,2045,2065,1841,1864,195734
2026-05-28,1860,1939,1677,1764,65102
2026-05-29,1768,2240,1702,1880,565210
2026-06-01,1839,2000,1761,1847,166181
2026-06-02,1847,1879,1770,1802,36957
