Date,Open,High,Low,Close,Volume
2025-04-09,24050,24700,23150,23550,10964
2025-04-10,24100,25200,24100,24800,3079
2025-04-11,24550,26000,24550,25350,1836
2025-04-14,25200,26700,24850,25450,2013
2025-04-15,26350,26350,25350,25700,3559
2025-04-16,26450,26450,25650,25950,942
2025-04-17,26650,26650,25600,25850,3419
2025-04-18,26000,26600,26000,26150,2233
2025-04-21,26200,26700,26050,26550,1850
2025-04-22,26500,26700,26350,26400,1837
2025-04-23,26750,26900,26650,26700,1579
2025-04-24,27150,27150,26650,26750,1145
2025-04-25,27150,27150,26750,26900,3362
2025-04-28,27000,27950,26850,27900,7122
2025-04-29,27400,27850,27400,27600,1840
2025-04-30,27650,28350,27650,28200,3115
2025-05-02,28200,28200,27650,28100,1793
2025-05-07,28100,29650,27950,29350,8227
2025-05-08,29400,29450,28800,29400,3986
2025-05-09,29400,29500,29050,29200,3364
2025-05-12,29300,30700,29300,30500,8958
2025-05-13,29950,30350,29500,29750,2306
2025-05-14,29750,30100,29350,29600,7338
2025-05-15,29700,30050,28350,28700,3165
2025-05-16,29000,30100,28850,29400,10445
2025-05-19,29400,29400,28750,28850,4504
2025-05-20,28850,29750,28850,29550,5296
2025-05-21,29950,30950,29950,30050,8446
2025-05-22,30350,30350,28900,28900,5359
2025-05-23,29000,31900,29000,30950,25562
2025-05-26,31400,31400,30450,31350,6382
2025-05-27,31050,31350,30800,31200,1978
2025-05-28,31500,32050,31200,31400,9388
2025-05-29,31400,32350,31300,31900,6788
2025-05-30,31800,32200,31150,31300,4480
2025-06-02,31200,32450,31150,31750,4511
2025-06-04,32400,32400,31800,32050,5763
2025-06-05,32000,32400,30850,30950,10616
2025-06-09,31300,32300,30800,30850,5056
2025-06-10,30900,32050,30850,32050,7532
2025-06-11,31400,32300,31400,32250,3739
2025-06-12,31700,33000,31700,32250,4403
2025-06-13,33000,33300,30850,31550,23789
2025-06-16,31550,34200,31550,33950,17525
2025-06-17,34450,36200,33850,34850,16826
2025-06-18,34900,35400,34500,34600,2495
2025-06-19,34000,34050,32300,32350,10065
2025-06-20,32350,32350,31400,31800,10576
2025-06-23,31800,32450,31150,31850,2809
2025-06-24,32550,33500,32500,33300,4434
2025-06-25,35600,39150,34600,37000,31287
2025-06-26,37500,38600,35900,37950,21359
2025-06-27,37300,37950,36250,36250,6259
2025-06-30,36250,36800,34350,34350,4139
2025-07-01,36000,38700,35500,35700,10820
2025-07-02,35750,36000,34500,34950,7199
2025-07-03,34950,35250,34400,34800,5885
2025-07-04,34900,35150,33800,33900,8627
2025-07-07,34000,34000,32750,33200,7617
2025-07-08,33250,34800,33250,33950,1764
2025-07-09,33950,35650,33600,34050,11116
2025-07-10,34050,35050,34000,34200,2658
2025-07-11,34350,34650,33850,34000,2718
2025-07-14,34400,35400,33450,34050,7234
2025-07-15,34700,34700,33850,34100,3545
2025-07-16,35500,35575,34050,34100,4654
2025-07-17,34150,34550,33650,34000,5912
2025-07-18,34950,34950,33500,34500,3748
2025-07-21,33800,34500,33100,33650,4046
2025-07-22,33300,33850,31650,33200,7526
2025-07-23,33250,33400,32550,33050,7141
2025-07-24,33100,34100,33050,33550,3061
2025-07-25,33400,33750,32650,33100,3097
2025-07-28,33500,33500,32300,32350,1735
2025-07-29,32900,32900,31750,32800,3767
2025-07-30,33200,33500,32350,32800,1980
2025-07-31,32800,33200,32600,32900,1571
2025-08-01,32800,32800,30500,30650,12883
2025-08-04,30800,31300,30000,30950,2929
2025-08-05,31450,32000,31250,31700,706
2025-08-06,32500,32750,31700,32600,1108
2025-08-07,32800,32800,32100,32100,1078
2025-08-08,32800,32800,31600,31750,2620
2025-08-11,31200,31200,28600,29150,17191
2025-08-12,28850,29850,28750,28950,12798
2025-08-13,29750,29750,27000,29000,13366
2025-08-14,28800,29900,28300,29750,2624
2025-08-18,29550,29550,29000,29350,1585
2025-08-19,29250,30950,28550,29650,2554
2025-08-20,29650,29700,28350,29250,3208
2025-08-21,29050,29950,28950,29450,2009
2025-08-22,30000,30150,29350,29750,3882
2025-08-25,30550,30550,29400,30050,1748
2025-08-26,30050,30400,29250,29550,1706
2025-08-27,29950,29950,29400,29800,474
2025-08-28,29800,29800,29200,29600,701
2025-08-29,30000,30000,29300,29500,1376
2025-09-01,29900,29900,28050,29250,1587
2025-09-02,29250,29600,29000,29400,733
2025-09-03,30950,30950,29250,29350,1380
2025-09-04,29950,30000,29250,29900,836
2025-09-05,30000,30000,29650,29900,638
2025-09-08,30050,30200,29800,30050,1467
2025-09-09,30400,30400,29950,30100,851
2025-09-10,30300,30300,29450,30200,1542
2025-09-11,30300,30500,30000,30500,1845
2025-09-12,30500,30750,30300,30800,3595
2025-09-15,30800,31100,29950,30800,2429
2025-09-16,31150,31400,30150,31150,8700
2025-09-17,31450,31500,30450,30950,3102
2025-09-18,31450,31450,30300,31300,1354
2025-09-19,31350,31350,30700,30700,962
2025-09-22,30800,30800,29850,30650,1897
2025-09-23,30650,30650,29700,30100,6300
2025-09-24,30650,31050,29600,29650,2433
2025-09-25,29550,29750,29100,29150,1611
2025-09-26,30000,30000,28350,28450,2611
2025-09-29,30000,30000,28350,28600,1629
2025-09-30,29350,29400,28450,28900,1296
2025-10-01,31300,31300,28050,30350,1109
2025-10-02,30200,30200,29000,29350,3876
2025-10-10,29350,29350,28500,28850,2630
2025-10-13,28850,29750,28150,28750,857
2025-10-14,28750,29450,28650,28900,1278
2025-10-15,29000,30000,29000,29550,1904
2025-10-16,29200,30550,29200,29400,1859
2025-10-17,29400,30800,28800,28800,1362
2025-10-20,28200,29700,28200,28700,1515
2025-10-21,29700,29700,28350,28550,4128
2025-10-22,28600,29450,28550,29350,610
2025-10-23,29150,29750,29100,29350,1292
2025-10-24,28800,30000,28700,29850,1343
2025-10-27,30500,30800,30400,30750,3416
2025-10-28,30700,30700,30100,30100,3457
2025-10-29,30850,32100,30750,31200,3640
