Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
069500,1,KODEX 200,141395,2,6580,4.88,140909.0,43.8731,22561534,3168248,308807
360750,4,TIGER 미국S&P500,28365,2,65,0.23,28302.0,15.4683,11269524,321272,189166
396500,2,TIGER 반도체TOP10,52505,2,2055,4.07,52307.0,39.9975,22749526,1178689,146358
102110,1,TIGER 200,141500,2,6540,4.85,140936.0,44.1496,5274163,738625,122539
122630,3,KODEX 레버리지,225500,2,21100,10.32,224850.0,83.6808,16214750,3570265,112750
133690,4,TIGER 미국나스닥100,203170,2,1225,0.61,202220.0,27.1373,994411,202800,110809
379800,4,KODEX 미국S&P500,25855,2,55,0.21,25805.0,15.5014,16674621,433719,97254
278530,1,KODEX 200TR,51050,2,2535,5.23,50892.0,43.0698,2206310,111810,96944
379810,4,KODEX 미국나스닥100,30435,2,185,0.61,30283.0,27.251,9692029,296282,84746
488770,7,KODEX 머니마켓액티브,104500,2,10,0.01,104512.0,0.7666,975485,101936,80721
459580,6,KODEX CD금리액티브(합성),1073735,2,170,0.02,1073474.0,0.692,286779,307923,77785
091160,2,KODEX 반도체,165410,2,4430,2.75,165456.0,52.8723,6130411,1005852,74104
498400,2,KODEX 200타겟위클리커버드콜,27800,2,1255,4.73,27608.0,39.9668,11504293,316190,66359
310970,1,TIGER MSCI Korea TR,63215,2,3235,5.39,62877.0,45.23,62188,3879,64606
381180,4,TIGER 미국필라델피아반도체나스닥,51220,2,395,0.78,50522.0,65.7931,2842630,145839,63282
148020,1,RISE 200,142415,2,6095,4.47,141807.0,44.3102,1523310,215054,50557
229200,1,KODEX 코스닥150,18410,5,-320,-1.71,18413.0,-11.1234,37399503,693216,49422
0167A0,2,SOL AI반도체TOP2플러스,25585,2,385,1.53,25476.0,,55910083,1425621,48829
411060,5,ACE KRX금현물,29825,5,-180,-0.6,30130.0,-10.513,2100204,62881,45841
381170,4,TIGER 미국테크TOP10 INDXX,35245,2,180,0.51,35048.0,22.4336,1270318,45066,44321
102780,2,KODEX 삼성그룹,33685,2,935,2.85,33575.0,59.6069,2151575,72009,44228
395270,2,HANARO Fn K-반도체,75745,2,125,0.17,75534.0,105.7379,5403297,407059,43402
357870,6,TIGER CD금리투자KIS(합성),57560,2,5,0.01,57561.0,0.691,520879,29982,43073
487240,2,KODEX AI전력핵심설비,50170,2,2950,6.25,50108.0,35.7089,9876606,497145,42795
273130,6,KODEX 종합채권(AA-이상)액티브,110595,5,-625,-0.56,110793.0,-2.6223,41877,4642,42791
423160,6,KODEX KOFR금리액티브(합성),110655,2,10,0.01,110645.0,0.6386,120335,13315,42286
360200,4,ACE 미국S&P500,28670,2,55,0.19,28611.0,15.5049,1186859,34147,40539
395160,2,KODEX AI반도체TOP2플러스,53940,2,170,0.32,53818.0,82.0905,8476099,454221,40239
458730,4,TIGER 미국배당다우존스,15450,5,-90,-0.58,15464.0,9.5133,3355972,52138,37281
367380,4,ACE 미국나스닥100,34950,2,230,0.66,34772.0,27.1597,1037475,36388,35509
278540,1,KODEX MSCI Korea TR,50300,2,2485,5.2,50061.0,45.5998,43468,2154,34103
233740,3,KODEX 코스닥150레버리지,14060,5,-415,-2.87,13957.0,-29.235,68681244,976204,33674
494310,2,KODEX 반도체레버리지,171405,2,6940,4.22,172022.0,100.5426,3834442,644065,33167
292150,2,TIGER 코리아TOP10,49115,2,1775,3.75,49030.0,37.7683,2777261,135452,31876
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,15100,2,485,3.32,15126.0,37.0284,18934003,282896,31423
0043B0,6,TIGER 머니마켓액티브,102610,2,10,0.01,102612.0,0.7908,123140,12635,29926
481050,6,KODEX CD1년금리플러스액티브(합성),1021815,2,155,0.02,1021737.0,0.7096,9579,9787,29324
455890,6,RISE 머니마켓액티브,55025,2,5,0.01,55032.0,0.7692,443158,24385,26948
139260,2,TIGER 200 IT,193870,2,5930,3.16,191995.0,99.8189,1934931,371480,26793
161510,2,PLUS 고배당주,26950,2,460,1.74,27045.0,-7.2992,2878354,78112,26462
456600,4,TIME 글로벌AI인공지능액티브,70345,2,1110,1.6,69677.0,65.2978,938991,66316,26014
0183J0,4,TIGER 미국우주테크,17150,5,-870,-4.83,17629.0,,24911230,429364,25536
294400,1,KIWOOM 200TR,185520,2,9085,5.15,184390.0,43.5539,218320,39984,25138
449170,6,TIGER KOFR금리액티브(합성),111010,2,10,0.01,110999.0,0.6209,146257,16235,24195
488080,3,TIGER 반도체TOP10레버리지,94580,2,7480,8.59,95183.0,63.3993,4009756,368937,23976
305720,2,KODEX 2차전지산업,19750,5,-535,-2.64,19702.0,4.473,3619562,72126,22851
426030,4,TIME 미국나스닥100액티브,58115,2,615,1.07,57460.0,53.3537,1462861,85284,22758
284430,6,KODEX 200미국채혼합,24505,2,410,1.7,24497.0,18.4472,2079836,50772,22407
0193T0,2,KODEX SK하이닉스단일종목레버리지,31100,2,1205,4.03,30600.0,,91280659,2804342,22260
315930,2,KODEX Top5PlusTR,105565,2,5225,5.21,105172.0,44.3014,218027,22717,22169
105190,1,ACE 200,142230,2,6495,4.79,141427.0,44.1743,252371,35620,21761
152100,1,PLUS 200,142285,2,5275,3.85,143109.0,44.042,429266,61233,21485
385540,6,RISE 종합채권(A-이상)액티브,103600,5,-565,-0.54,103633.0,-2.4673,12509,1297,21433
472150,2,TIGER 배당커버드콜액티브,27405,2,1225,4.68,27380.0,46.3073,5796311,156387,21280
214980,6,KODEX 단기채권PLUS,114645,5,-15,-0.01,114692.0,0.4978,101366,11622,21076
487230,4,KODEX 미국AI전력핵심인프라,25605,5,-285,-1.1,25658.0,28.5572,1629504,41908,20446
466920,2,SOL 조선TOP3플러스,37600,5,-100,-0.27,37503.0,-1.5391,2704117,103044,19026
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,12270,2,65,0.53,12225.0,25.5122,3959122,48779,18430
446770,4,ACE 글로벌반도체TOP4 Plus,92670,2,120,0.13,91864.0,50.8569,484330,44903,18117
453850,6,ACE 미국30년국채액티브(H),7415,5,-25,-0.34,7444.0,-4.2088,3235583,23971,18011
445290,2,KODEX 로봇액티브,50295,2,5620,12.58,48653.0,16.2783,7394457,361338,17327
091230,2,TIGER 반도체,173240,2,3495,2.06,173057.0,53.8743,665623,114417,16804
0193W0,2,KODEX 삼성전자단일종목레버리지,29350,2,5035,20.71,29601.0,,84546035,2369788,16568
232080,1,TIGER 코스닥150,18805,5,-250,-1.31,18785.0,-11.3048,4658176,87895,16383
475630,7,TIGER CD1년금리액티브(합성),1067705,2,135,0.01,1067701.0,0.6951,32413,34607,16004
441640,4,KODEX 미국배당커버드콜액티브,13470,2,75,0.56,13460.0,7.2657,1648070,22288,15955
368590,4,RISE 미국나스닥100,33875,2,215,0.64,33724.0,27.1631,579360,19694,15921
379780,4,RISE 미국S&P500,24805,2,55,0.22,24739.0,15.7102,555646,13817,15503
477080,6,RISE CD금리액티브(합성),106675,5,-5,0.0,106676.0,0.67,31923,3405,15321
449450,2,PLUS K방산,67995,5,-135,-0.2,67896.0,-3.6382,1041439,72102,14898
329200,2,TIGER 리츠부동산인프라,3990,5,-115,-2.8,4001.0,-9.5852,14459884,57591,14412
494890,1,KODEX 200액티브,40945,2,1945,4.99,40728.0,43.7612,693208,28257,14208
390390,4,KODEX 미국반도체,62075,2,5,0.01,61475.0,54.237,844861,52720,14122
0072R0,5,TIGER KRX금현물,14255,5,-35,-0.24,14399.0,-10.7433,1406209,20129,14098
157450,6,TIGER 단기통안채,111830,2,10,0.01,111837.0,0.553,33333,3727,13641
448330,1,KODEX 삼성전자채권혼합,18480,2,530,2.95,18489.0,12.3589,2592999,47459,13121
497570,4,TIGER 미국필라델피아AI반도체나스닥,24740,2,205,0.84,24421.0,44.6408,1396091,34732,13063
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,25940,2,1545,6.33,25868.0,31.4739,6638393,172915,12996
436140,6,SOL 종합채권(AA-이상)액티브,106885,5,-655,-0.61,106915.0,-2.3607,357,38,12839
0117L0,6,KODEX 26-12 금융채(AA-이상)액티브,10090,5,-5,-0.05,10087.0,0.7485,144926,1462,12809
243880,2,TIGER 200IT레버리지,888010,2,42010,4.97,882374.0,236.3683,325689,285806,12654
226490,1,KODEX 코스피,90695,2,3810,4.39,90428.0,35.4136,442901,39988,12516
305540,2,TIGER 2차전지테마,24305,5,-710,-2.84,24244.0,4.6617,810837,19894,12468
469150,2,ACE AI반도체TOP3+,80660,2,2395,3.06,80463.0,56.255,2579513,206309,12462
0195S0,2,TIGER SK하이닉스단일종목레버리지,26535,2,1165,4.59,26085.0,,63662440,1664030,12385
237350,1,KODEX 코스피100,113845,2,5885,5.45,113113.0,45.3223,567922,63826,12181
465580,4,ACE 미국빅테크TOP7 Plus,26840,2,280,1.05,26652.0,24.3154,1597083,43114,12078
457480,4,ACE 테슬라밸류체인액티브,24775,5,-385,-1.53,24903.0,17.5975,1935757,48336,12028
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,101330,5,-15,-0.01,101355.0,0.6155,421,42,11965
356540,6,ACE 종합채권(AA-이상)액티브,101760,5,-475,-0.46,101822.0,-2.6658,5558,566,11717
495050,1,RISE 코리아밸류업,40990,2,1655,4.21,40854.0,41.9963,4012523,162789,11559
469830,6,SOL 초단기채권액티브,53925,2,10,0.02,53922.0,0.7945,530685,28616,11552
371460,4,TIGER 차이나전기차SOLACTIVE,13500,5,-200,-1.46,13583.0,11.5635,1057263,14522,11507
