Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,317000,1,17500,5.84,309500,319000,305500,35529165,11156834105412,1853270318736000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,2333000,1,44000,1.92,2352000,2379000,2290500,8303178,19363722172914,1662734617545000,712702365,STK
2,402340,KR7402340004,SK스퀘어,KOSPI,,1233000,2,-4000,-0.32,1260000,1276000,1217000,1318441,1635605639500,162704689938000,131958386,STK
3,005935,KR7005931001,삼성전자우,KOSPI,,202500,1,11600,6.08,197800,207500,195500,9315441,1877512110900,162480168607500,802371203,STK
4,009150,KR7009150004,삼성전기,KOSPI,,2127000,1,278000,15.04,1945000,2192000,1912000,2933772,6126477851459,158873491392000,74693696,STK
5,005380,KR7005380001,현대차,KOSPI,,723000,1,46000,6.79,704000,739000,701000,3085216,2222340537046,148039864818000,204757766,STK
6,373220,KR7373220003,LG에너지솔루션,KOSPI,,458000,1,16000,3.62,444500,465000,432000,1260652,571878271250,107172000000000,234000000,STK
7,032830,KR7032830002,삼성생명,KOSPI,,388500,1,31000,8.67,366500,391500,355000,785290,297869836750,77700000000000,200000000,STK
8,329180,KR7329180004,HD현대중공업,KOSPI,,696000,2,-8000,-1.14,720000,723000,690000,759344,530714229000,73053012600000,104961225,STK
9,028260,KR7028260008,삼성물산,KOSPI,,432500,1,33000,8.26,424000,443000,410500,972140,416617510000,70137478782500,162167581,STK
10,012330,KR7012330007,현대모비스,KOSPI,,768000,1,82000,11.95,712000,795000,706000,1956792,1477350821500,69682623744000,90732583,STK
11,034020,KR7034020008,두산에너빌리티,KOSPI,,105600,2,-300,-0.28,107400,107500,102500,4535799,475568990100,67643257017600,640561146,STK
12,000270,KR7000270009,기아,KOSPI,,169200,1,4900,2.98,165500,172500,164100,2526943,427481427750,66057879261600,390412998,STK
13,207940,KR7207940008,삼성바이오로직스,KOSPI,,1363000,2,-10000,-0.73,1379000,1386000,1336000,125269,170139612000,63094566213000,46290951,STK
14,012450,KR7012450003,한화에어로스페이스,KOSPI,,1173000,2,-27000,-2.25,1210000,1233000,1161000,348167,410583156500,60483869373000,51563401,STK
15,105560,KR7105560007,KB금융,KOSPI,,150600,1,900,0.6,150100,153500,148200,1988908,299810090550,56151278523000,372850455,STK
16,006400,KR7006400006,삼성SDI,KOSPI,,688000,1,12000,1.78,680000,707000,657000,1993536,1367740089500,55442844640000,80585530,STK
17,034730,KR7034730002,SK,KOSPI,,676000,1,12000,1.81,692000,698000,670000,389823,264876753000,49011827228000,72502703,STK
18,066570,KR7066570003,LG전자,KOSPI,,293000,4,67500,29.93,255500,293000,248500,9119252,2545538404250,47725198934000,162884638,STK
19,055550,KR7055550008,신한지주,KOSPI,,93600,1,800,0.86,94400,94800,91700,2577188,240984901500,44427648189600,474654361,STK
20,068270,KR7068270008,셀트리온,KOSPI,,192900,1,2900,1.53,191600,194500,189400,1024879,197329046150,42847399578900,222122341,STK
21,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1053000,1,6000,0.57,1089000,1090000,1010000,271173,283674012000,37957633155000,36047135,STK
22,042660,KR7042660001,한화오션,KOSPI,,123300,2,-900,-0.72,126700,126800,120200,1752031,214686096850,37780771480200,306413394,STK
23,035420,KR7035420009,NAVER,KOSPI,,234000,1,29000,14.15,211500,247500,211000,7542941,1761963799750,36708463584000,156873776,STK
24,010120,KR7010120004,LS ELECTRIC,KOSPI,,241500,2,-5000,-2.03,251000,251500,230500,1568441,374111731750,36225000000000,150000000,STK
25,011070,KR7011070000,LG이노텍,KOSPI,,1458000,1,324000,28.57,1193000,1474000,1145000,1402802,1882041690500,34506642006000,23667107,STK
26,298040,KR7298040007,효성중공업,KOSPI,,3685000,1,32000,0.88,3699000,3740000,3565000,77915,285656440000,34360959380000,9324548,STK
27,006800,KR7006800007,미래에셋증권,KOSPI,,61400,2,-600,-0.97,62300,62800,59600,3550490,216633568850,34357406432000,559566880,STK
28,005490,KR7005490008,POSCO홀딩스,KOSPI,,423500,1,3500,0.83,424000,424000,407500,767393,320940980000,33558786684500,79241527,STK
29,000150,KR7000150003,두산,KOSPI,,1972000,1,312000,18.8,1726000,2012000,1689000,231205,436862732500,31934242620000,16193835,STK
30,086790,KR7086790003,하나금융지주,KOSPI,,115100,2,-200,-0.17,117500,117500,113100,1511863,173899888450,31579727794800,274367748,STK
31,009540,KR7009540006,HD한국조선해양,KOSPI,,423000,1,8000,1.93,426000,426000,405000,436889,183731016500,29937028068000,70773116,STK
32,010130,KR7010130003,고려아연,KOSPI,,1373000,1,8000,0.59,1385000,1405000,1342000,23296,31976999500,28658586437000,20872969,STK
33,042700,KR7042700005,한미반도체,KOSPI,,282000,2,-10500,-3.59,301000,301000,277500,1580627,448316988500,26878040400000,95312200,STK
34,051910,KR7051910008,LG화학,KOSPI,,367000,1,22500,6.53,345000,372000,339500,877447,314558698500,25907389881000,70592343,STK
35,307950,KR7307950006,현대오토에버,KOSPI,,931000,1,185000,24.8,783000,953000,775000,1007516,874322118000,25531727242000,27423982,STK
36,000810,KR7000810002,삼성화재,KOSPI,,569000,1,9000,1.61,565000,575000,545000,226655,128189084000,25404412137000,44647473,STK
37,015760,KR7015760002,한국전력,KOSPI,,38900,2,-150,-0.38,39450,39850,38100,3204199,125026523275,24972402595300,641964077,STK
38,010140,KR7010140002,삼성중공업,KOSPI,,27950,2,-450,-1.58,28850,28900,27350,6896894,192940298775,24596000000000,880000000,STK
39,018260,KR7018260000,삼성에스디에스,KOSPI,,299000,1,50500,20.32,266000,321500,258000,3868707,1152393976250,23135962200000,77377800,STK
40,003550,KR7003550001,LG,KOSPI,,146600,1,30800,26.6,123600,149700,121000,6171499,844042962400,22608884361000,154221585,STK
41,267250,KR7267250009,HD현대,KOSPI,,277500,1,2000,0.73,281000,282000,266500,316875,87291289250,21920581087500,78993085,STK
42,064350,KR7064350002,현대로템,KOSPI,,200500,2,-5500,-2.67,208000,208000,196300,1065952,213846091050,21883029746500,109142293,STK
43,003670,KR7003670007,포스코퓨처엠,KOSPI,,245500,1,7500,3.15,237500,249500,231500,616020,149988671500,21836297010000,88946220,STK
