MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,17,6,7,4,46.15384615384615,35.294117647058826,9.715773540577194,-5.224632226469098,34.49781659388647,-14.951456310679612
11,15,6,5,4,54.54545454545454,40.0,10.688357337314699,-5.187869576088365,34.49781659388647,-14.951456310679612
12,16,6,6,4,50.0,37.5,9.722179053446304,-5.323530367010349,34.49781659388647,-14.951456310679612
13,19,7,7,5,50.0,36.84210526315789,7.967662245135563,-5.023257586775373,33.57079252003562,-14.951456310679612
14,16,7,4,5,63.63636363636363,43.75,10.553289830350229,-4.152924970031768,34.49781659388647,-13.954802259887005
15,15,5,5,5,50.0,33.33333333333333,8.191096411874273,-4.6043013045615035,33.57079252003562,-13.954802259887005
16,15,6,5,4,54.54545454545454,40.0,8.853076839936572,-4.614376061224954,33.57079252003562,-13.954802259887005
17,15,6,5,4,54.54545454545454,40.0,8.853076839936572,-4.614376061224954,33.57079252003562,-13.954802259887005
18,14,6,5,3,54.54545454545454,42.857142857142854,9.425541298254894,-4.599559855954559,33.57079252003562,-13.954802259887005
19,14,6,6,2,50.0,42.857142857142854,8.924814847414254,-5.058878073542913,33.57079252003562,-13.954802259887005
20,13,5,6,2,45.45454545454545,38.46153846153847,7.028970411058765,-4.858941096804006,15.557217651458489,-13.954802259887005
