티커,종목명,MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
010170 KQ,TAIHAN FIBEROPTICS CO LTD,10,24,9,7,8,56.25,37.5,10.81451966090117,-3.8668927776429296,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,11,24,9,8,7,52.94117647058824,37.5,10.852817072638247,-4.181894722325873,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,12,23,8,9,6,47.05882352941176,34.78260869565217,10.856799293838467,-4.376729465305984,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,13,19,7,7,5,50.0,36.84210526315789,10.161625928433264,-4.047912660073012,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,14,21,7,7,7,50.0,33.33333333333333,9.734238090686276,-4.109958747901617,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,15,19,7,6,6,53.84615384615385,36.84210526315789,10.170386145146793,-4.048272920667711,35.990621336459554,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,16,18,7,7,4,50.0,38.88888888888889,9.388886771817655,-4.469998904198687,28.028326500186356,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,17,16,7,6,3,53.84615384615385,43.75,9.948137993041257,-4.71051646239359,28.028326500186356,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,18,14,7,4,3,63.63636363636363,50.0,10.767134695460403,-4.321877320409955,28.028326500186356,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,19,14,7,4,3,63.63636363636363,50.0,10.767134695460403,-4.321877320409955,28.028326500186356,-13.77551020408163
010170 KQ,TAIHAN FIBEROPTICS CO LTD,20,16,7,6,3,53.84615384615385,43.75,9.98649372872898,-5.273814234043877,28.028326500186356,-16.65043816942551
039200 KQ,OSCOTEC INC,10,14,3,5,6,37.5,21.428571428571427,9.429938099961891,-4.685145151470986,40.16393442622951,-13.031914893617023
039200 KQ,OSCOTEC INC,11,12,2,5,5,28.57142857142857,16.666666666666664,9.345834144555724,-5.762881425921577,40.16393442622951,-17.229336437718278
039200 KQ,OSCOTEC INC,12,15,2,7,6,22.22222222222222,13.333333333333334,8.220995588463783,-5.832095272372927,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,13,18,2,8,8,20.0,11.11111111111111,7.952859748057151,-5.548809203934327,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,14,17,2,7,8,22.22222222222222,11.76470588235294,8.085367627583441,-5.094564305506696,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,15,17,3,7,7,30.0,17.647058823529413,9.196821951101137,-4.946917371456938,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,16,18,4,7,7,36.36363636363637,22.22222222222222,9.646966345422904,-4.824410042314069,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,17,18,4,8,6,33.33333333333333,22.22222222222222,9.778609590123473,-5.306891310357971,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,18,15,4,5,6,44.44444444444444,26.666666666666668,10.87556667590264,-5.047999754572962,36.008337675872845,-17.229336437718278
